epoch,train_loss,train_sequence_accuracy,val_loss,val_seq_acc,learning_rate,acc_len_10-19,acc_len_0-9,acc_len_20-29,acc_len_30-39,acc_len_50-59,acc_len_40-49
1,2.8425166907960375,3.443407596157157e-05,2.009431343430139,0.0002754820936639118,2.5578157158585683e-05,0.0,0.00041118421052631577,0.0,0.0,0.0,0.0
2,2.0423095952593395,0.00027547260769257255,1.5947825861019869,0.0013774104683195593,3.0295332939778673e-05,0.0008992805755395684,0.001644736842105263,0.0,0.0,0.0,0.0
3,1.7090553189943785,0.0007919837471161461,1.347887453213145,0.004132231404958678,3.8099829810749834e-05,0.0,0.006167763157894737,0.0,0.0,0.0,0.0
4,1.4878637943023763,0.0026858579250025826,1.156184145070389,0.015426997245179064,4.890611497562357e-05,0.00539568345323741,0.02055921052631579,0.0,0.0,0.0,0.0
5,1.3106946774721075,0.008367480458661892,1.008900295803928,0.03774104683195592,6.25957577657149e-05,0.024280575539568347,0.04523026315789474,0.0,0.0,0.0,0.0
6,1.173714457802005,0.01838779656347922,0.9086087968523441,0.05289256198347107,7.901872757152596e-05,0.04136690647482014,0.060032894736842105,0.0,0.0,0.0,0.0
7,1.0654954697237664,0.02895905788368169,0.8500578507418562,0.06556473829201102,9.799503809191615e-05,0.039568345323741004,0.07976973684210527,0.0,0.0,0.0,0.0
8,0.985513903755704,0.04156192968561689,0.7993322904137351,0.07713498622589532,0.00011931671988041793,0.06384892086330936,0.0859375,0.0,0.0,0.0,0.0
9,0.9252194292934978,0.052959608828897074,0.7608139585423979,0.08457300275482094,0.00014275009957072864,0.07553956834532374,0.09169407894736842,0.0,0.0,0.0,0.0
10,0.8786096783465697,0.05963981956544196,0.7153977307414425,0.1,0.00016803836080237508,0.09712230215827339,0.10485197368421052,0.0,0.0,0.0,0.0
11,0.8405155725454888,0.07041768534141386,0.7178203866973135,0.09752066115702479,0.0001949043587802816,0.09712230215827339,0.10115131578947369,0.0,0.0,0.0,0.0
12,0.8082887654704143,0.07906063840776832,0.671682329580617,0.12203856749311295,0.00022305365762228575,0.1196043165467626,0.12746710526315788,0.0,0.0,0.0,0.0
13,0.77905591931581,0.08408801349815778,0.6679080312349177,0.11983471074380166,0.00025217775720702204,0.11330935251798561,0.12705592105263158,0.0,0.0,0.0,0.0
14,0.7559440148776088,0.09255879618470439,0.6587011120138266,0.11515151515151516,0.0002819574741577747,0.11330935251798561,0.12006578947368421,0.0,0.0,0.0,0.0
15,0.7336466023366871,0.09748286904720911,0.633206606379126,0.13443526170798897,0.0003120664399086656,0.14928057553956833,0.13240131578947367,0.0,0.0,0.0,0.0
16,0.7144310929291996,0.1057470472779863,0.6183681692352688,0.14132231404958678,0.00034217467751637964,0.15827338129496402,0.13856907894736842,0.0,0.0,0.0,0.0
17,0.6959382040958961,0.11442443442030233,0.5971572469257806,0.14545454545454545,0.0003719522180176319,0.16007194244604317,0.14391447368421054,0.0,0.0,0.0,0.0
18,0.6834395573471342,0.11380462105299405,0.6119061742802375,0.14242424242424243,0.0004010727166991785,0.1591726618705036,0.13980263157894737,0.0,0.0,0.0,0.0
19,0.6672291051608898,0.12275748080300265,0.576152489664234,0.15950413223140497,0.00042921702964813157,0.19874100719424462,0.14720394736842105,0.0,0.0,0.0,0.0
