epoch,split,length_bucket,correct,total,sequence_accuracy
19,val,10-19,134,795,0.16855345911949685
19,val,100-109,0,1,0.0
19,val,20-29,0,68,0.0
19,val,30-39,0,21,0.0
19,val,40-49,0,5,0.0
19,val,50-59,0,3,0.0
19,val,60-69,0,2,0.0
19,val,70-79,0,1,0.0
20,val,0-9,657,2553,0.2573443008225617
20,val,10-19,144,795,0.1811320754716981
20,val,100-109,0,1,0.0
20,val,20-29,0,68,0.0
20,val,30-39,0,21,0.0
20,val,40-49,0,5,0.0
20,val,50-59,0,3,0.0
20,val,60-69,0,2,0.0
20,val,70-79,0,1,0.0
21,val,0-9,712,2553,0.2788875832354093
21,val,10-19,137,795,0.17232704402515722
21,val,100-109,0,1,0.0
21,val,20-29,0,68,0.0
21,val,30-39,0,21,0.0
21,val,40-49,0,5,0.0
21,val,50-59,0,3,0.0
21,val,60-69,0,2,0.0
21,val,70-79,0,1,0.0
22,val,0-9,775,2553,0.3035644339992166
22,val,10-19,178,795,0.2238993710691824
22,val,100-109,0,1,0.0
22,val,20-29,0,68,0.0
22,val,30-39,0,21,0.0
22,val,40-49,0,5,0.0
22,val,50-59,0,3,0.0
22,val,60-69,0,2,0.0
22,val,70-79,0,1,0.0
23,val,0-9,834,2553,0.32667450058754405
23,val,10-19,182,795,0.2289308176100629
23,val,100-109,0,1,0.0
23,val,20-29,0,68,0.0
23,val,30-39,0,21,0.0
23,val,40-49,0,5,0.0
23,val,50-59,0,3,0.0
23,val,60-69,0,2,0.0
23,val,70-79,0,1,0.0
24,val,0-9,806,2553,0.3157070113591853
24,val,10-19,169,795,0.21257861635220127
24,val,100-109,0,1,0.0
24,val,20-29,0,68,0.0
24,val,30-39,0,21,0.0
24,val,40-49,0,5,0.0
24,val,50-59,0,3,0.0
24,val,60-69,0,2,0.0
24,val,70-79,0,1,0.0
25,val,0-9,857,2553,0.3356835095965531
25,val,10-19,184,795,0.23144654088050315
25,val,100-109,0,1,0.0
25,val,20-29,0,68,0.0
25,val,30-39,0,21,0.0
25,val,40-49,0,5,0.0
25,val,50-59,0,3,0.0
25,val,60-69,0,2,0.0
25,val,70-79,0,1,0.0
26,val,0-9,892,2553,0.34939287113200157
26,val,10-19,202,795,0.2540880503144654
26,val,100-109,0,1,0.0
26,val,20-29,0,68,0.0
26,val,30-39,0,21,0.0
26,val,40-49,0,5,0.0
26,val,50-59,0,3,0.0
26,val,60-69,0,2,0.0
26,val,70-79,0,1,0.0
27,val,0-9,932,2553,0.36506071288679987
27,val,10-19,210,795,0.2641509433962264
27,val,100-109,0,1,0.0
27,val,20-29,0,68,0.0
27,val,30-39,0,21,0.0
27,val,40-49,0,5,0.0
27,val,50-59,0,3,0.0
27,val,60-69,0,2,0.0
27,val,70-79,0,1,0.0
28,val,0-9,954,2553,0.3736780258519389
28,val,10-19,208,795,0.26163522012578616
28,val,100-109,0,1,0.0
28,val,20-29,0,68,0.0
28,val,30-39,0,21,0.0
28,val,40-49,0,5,0.0
28,val,50-59,0,3,0.0
28,val,60-69,0,2,0.0
28,val,70-79,0,1,0.0
29,val,0-9,989,2553,0.38738738738738737
29,val,10-19,239,795,0.30062893081761005
29,val,100-109,0,1,0.0
29,val,20-29,0,68,0.0
29,val,30-39,0,21,0.0
29,val,40-49,0,5,0.0
29,val,50-59,0,3,0.0
29,val,60-69,0,2,0.0
29,val,70-79,0,1,0.0
30,val,0-9,1023,2553,0.4007050528789659
30,val,10-19,258,795,0.32452830188679244
30,val,100-109,0,1,0.0
30,val,20-29,0,68,0.0
30,val,30-39,0,21,0.0
30,val,40-49,0,5,0.0
30,val,50-59,0,3,0.0
30,val,60-69,0,2,0.0
30,val,70-79,0,1,0.0
31,val,0-9,1075,2553,0.42107324716020367
31,val,10-19,258,795,0.32452830188679244
31,val,100-109,0,1,0.0
31,val,20-29,0,68,0.0
31,val,30-39,0,21,0.0
31,val,40-49,0,5,0.0
31,val,50-59,0,3,0.0
31,val,60-69,0,2,0.0
31,val,70-79,0,1,0.0
32,val,0-9,1131,2553,0.44300822561692127
32,val,10-19,282,795,0.35471698113207545
32,val,100-109,0,1,0.0
32,val,20-29,0,68,0.0
32,val,30-39,0,21,0.0
32,val,40-49,0,5,0.0
32,val,50-59,0,3,0.0
32,val,60-69,0,2,0.0
32,val,70-79,0,1,0.0
33,val,0-9,1125,2553,0.4406580493537015
33,val,10-19,306,795,0.3849056603773585
33,val,100-109,0,1,0.0
33,val,20-29,0,68,0.0
33,val,30-39,0,21,0.0
33,val,40-49,0,5,0.0
33,val,50-59,0,3,0.0
33,val,60-69,0,2,0.0
33,val,70-79,0,1,0.0
34,val,0-9,1131,2553,0.44300822561692127
34,val,10-19,312,795,0.39245283018867927
34,val,100-109,0,1,0.0
34,val,20-29,0,68,0.0
34,val,30-39,0,21,0.0
34,val,40-49,0,5,0.0
34,val,50-59,0,3,0.0
34,val,60-69,0,2,0.0
34,val,70-79,0,1,0.0
35,val,0-9,1154,2553,0.4520172346259303
35,val,10-19,320,795,0.4025157232704403
35,val,100-109,0,1,0.0
35,val,20-29,0,68,0.0
35,val,30-39,0,21,0.0
35,val,40-49,0,5,0.0
35,val,50-59,0,3,0.0
35,val,60-69,0,2,0.0
35,val,70-79,0,1,0.0
36,val,0-9,1180,2553,0.46220133176654915
36,val,10-19,344,795,0.4327044025157233
36,val,100-109,0,1,0.0
36,val,20-29,0,68,0.0
36,val,30-39,0,21,0.0
36,val,40-49,0,5,0.0
36,val,50-59,0,3,0.0
36,val,60-69,0,2,0.0
36,val,70-79,0,1,0.0
37,val,0-9,1196,2553,0.46846846846846846
37,val,10-19,345,795,0.4339622641509434
37,val,100-109,0,1,0.0
37,val,20-29,0,68,0.0
37,val,30-39,0,21,0.0
37,val,40-49,0,5,0.0
37,val,50-59,0,3,0.0
37,val,60-69,0,2,0.0
37,val,70-79,0,1,0.0
38,val,0-9,1194,2553,0.46768507638072854
38,val,10-19,348,795,0.4377358490566038
38,val,100-109,0,1,0.0
38,val,20-29,0,68,0.0
38,val,30-39,0,21,0.0
38,val,40-49,0,5,0.0
38,val,50-59,0,3,0.0
38,val,60-69,0,2,0.0
38,val,70-79,0,1,0.0
39,val,0-9,1190,2553,0.46611829220524875
39,val,10-19,363,795,0.45660377358490567
39,val,100-109,0,1,0.0
39,val,20-29,0,68,0.0
39,val,30-39,0,21,0.0
39,val,40-49,0,5,0.0
39,val,50-59,0,3,0.0
39,val,60-69,0,2,0.0
39,val,70-79,0,1,0.0
40,val,0-9,1212,2553,0.47473560517038776
40,val,10-19,375,795,0.4716981132075472
40,val,100-109,0,1,0.0
40,val,20-29,0,68,0.0
40,val,30-39,0,21,0.0
