epoch,learning_rate,train_loss,train_token_accuracy,train_sequence_accuracy,train_arabic_to_arabizi_sequence_accuracy,train_arabizi_to_arabic_sequence_accuracy,val_loss,val_token_accuracy,val_sequence_accuracy,val_arabic_to_arabizi_sequence_accuracy,val_arabizi_to_arabic_sequence_accuracy
1,0.0002999259840548597,2.3379209428683922,0.36936302495345014,0.0014634482283667918,0.00041320891153885886,0.0025136875451947246,1.4921733672953834,0.5285505124450952,0.01046831955922865,0.003581267217630854,0.017355371900826446
2,0.0002997040092642407,1.4415870622918485,0.5365003179291531,0.023707861299542027,0.00767879893943046,0.039736923659653596,1.115795758637515,0.6204245973645681,0.05537190082644628,0.023415977961432508,0.08732782369146005
3,0.000299334294690462,1.2243323542519151,0.5896981838154689,0.048930821941393206,0.018318928411556076,0.07954271547123033,0.9791641651106274,0.6586200585651537,0.09696969696969697,0.03691460055096419,0.15702479338842976
4,0.0002988172051971717,1.1262324414532858,0.6163107911308022,0.06544196136496677,0.024689232464446816,0.10619469026548672,0.904156636567812,0.6829428989751098,0.12038567493112948,0.05702479338842975,0.1837465564738292
5,0.00029815325108927063,1.0632947196046214,0.6343267764718752,0.0795771495471919,0.033194449226955,0.1259598498674288,0.8671558836603296,0.6960651537335285,0.13870523415977962,0.06639118457300275,0.21101928374655649
6,0.00029734308760930326,1.021272129310745,0.6472331047434118,0.08889156709479701,0.03856616507696016,0.13921696911263387,0.8376361404240296,0.7067166910688141,0.1522038567493113,0.07878787878787878,0.2256198347107438
7,0.00029638751429081204,0.9863728204052137,0.6573475820291401,0.09663923418615061,0.043559106091388036,0.1497193622809132,0.7904899836571748,0.7261896046852123,0.18677685950413223,0.1,0.2735537190082645
8,0.0002952874741692946,0.9565845927457861,0.6675030824313946,0.10752040219000723,0.04944733308081677,0.1655934712991977,0.7675197580957545,0.7302525622254759,0.18691460055096418,0.10633608815426997,0.26749311294765843
9,0.00029404405285154137,0.931565836414211,0.67558007826299,0.11571571226886126,0.057367170551978236,0.1740642539857443,0.7609230042817507,0.7332174231332357,0.19228650137741046,0.10275482093663912,0.2818181818181818
10,0.0002926584774442729,0.9098314395403551,0.6828115420817409,0.12344616232223408,0.0608105781481354,0.18608174649633277,0.7331636801238888,0.7424780380673499,0.20826446280991737,0.11542699724517906,0.30110192837465566
11,0.00029113211534313374,0.888292828750965,0.6896510072314638,0.1345855858958025,0.06749078888468028,0.2016803829069247,0.7111196290034565,0.7537701317715959,0.22796143250688705,0.1256198347107438,0.3303030303030303
12,0.0002894664728832376,0.8669959906006207,0.6972197722305408,0.1417134396198478,0.0718294824558383,0.2115973967838573,0.693268485240043,0.755783308931186,0.2325068870523416,0.12920110192837467,0.33581267217630856
13,0.0002876631938525971,0.852506316269295,0.7021516624617973,0.14854860369821976,0.07785544574911332,0.2192417616473262,0.6717585664150143,0.7657576866764275,0.2611570247933884,0.1581267217630854,0.36418732782369145
14,0.0002857240578699029,0.8353630143282298,0.7067849955672244,0.15695051823284323,0.08133328742123205,0.2325677490444544,0.6585408420930552,0.7709370424597365,0.2676308539944904,0.15922865013774104,0.3760330578512397
15,0.00028365097862825513,0.8188230729740162,0.7131868808073349,0.1654557349953514,0.09083709238662581,0.240074377604077,0.6379488907569696,0.7799414348462664,0.28994490358126723,0.18429752066115704,0.3955922865013774
16,0.0002814460020065795,0.799958803236581,0.7206918320695934,0.17394373471987878,0.09552012671739954,0.25236734272235806,0.6272856331068623,0.7829428989751098,0.28732782369146004,0.1765840220385675,0.39807162534435264
17,0.0002791113040505915,0.7861367600039096,0.7248306087146774,0.18329258634344547,0.10230363968182914,0.2642815330050618,0.6123819959065145,0.7871156661786237,0.30633608815427,0.20771349862258953,0.4049586776859504
18,0.00027664918882530225,0.7708591043832138,0.7306308215790709,0.1933129024482628,0.10950036155779759,0.277125443338728,0.5972101352431557,0.7947108345534407,0.31831955922865013,0.20110192837465565,0.43553719008264463
19,0.00027406208614118424,0.7550680947666641,0.7359205245489167,0.20224854516029062,0.11487207740780277,0.2896250129127785,0.5908071642079629,0.7957174231332357,0.3265840220385675,0.21955922865013774,0.43360881542699725
20,0.0002713525491562421,0.7423283432901104,0.7403966023743268,0.21073654488481802,0.12303295341069523,0.2984401363589408,0.5737943197905853,0.8011346998535871,0.3298898071625344,0.22451790633608815,0.43526170798898073
21,0.00026852325185635354,0.7279290358273395,0.7449820751771401,0.21941393202713405,0.12974759822320167,0.3090802658310664,0.553773640633943,0.8093521229868228,0.3643250688705234,0.256198347107438,0.4724517906336088
22,0.0002655769864163684,0.7131864600226568,0.7508347064682059,0.23144864157570333,0.139767914328019,0.3231293688233876,0.5464400254990444,0.8125915080527086,0.36680440771349865,0.25261707988980714,0.4809917355371901
23,0.00026251666044456895,0.7003570472191305,0.7555888298611824,0.24002272649013465,0.1439000034434076,0.33614544953686165,0.5414536974646829,0.814915812591508,0.3699724517906336,0.26611570247933886,0.4738292011019284
24,0.0002593452941132118,0.6871251856540624,0.7601059308031187,0.24814916841706552,0.1535759787886092,0.34272235804552187,0.5249828178035326,0.8195827232796487,0.375068870523416,0.2650137741046832,0.48512396694214877
25,0.0002560660171779822,0.6735828933212236,0.7637934531664148,0.2560173547742846,0.15608966633380394,0.35594504321476533,0.5313363199720041,0.8145680819912152,0.36928374655647384,0.25730027548209367,0.481267217630854
26,0.00025268206588930335,0.6624409784352351,0.7680621363471649,0.2633345959161186,0.1653524327674667,0.3613167590647705,0.5030449460196429,0.8283491947291362,0.4044077134986226,0.2931129476584022,0.515702479338843
27,0.0002491967797985478,0.6516105934799483,0.7725815163511305,0.27352708240074375,0.1708963189972797,0.37615784580420786,0.49404141602437357,0.8302708638360176,0.4086776859504132,0.27823691460055094,0.5391184573002755
28,0.0002456135984623035,0.6375647829089676,0.7778347543285086,0.2836851348094074,0.17857511793671016,0.3887951516821046,0.4807071076608558,0.8340409956076135,0.41887052341597797,0.30413223140495865,0.5336088154269972
29,0.00024193605804794655,0.6262520145608071,0.7813126029851154,0.2944802176233601,0.19086808305499123,0.39809235219172895,0.479406239014355,0.833803074670571,0.42355371900826444,0.3055096418732782,0.5415977961432507
30,0.00023816778784387105,0.616448159713045,0.7848702188127454,0.30217623360077134,0.19479356771461037,0.40955889948693225,0.4718633994090656,0.8368777452415812,0.4287878787878788,0.318732782369146,0.5388429752066116
31,0.00023431250667781966,0.6057620298796369,0.7889520189070985,0.3107675355531834,0.20415963637615783,0.417375434730209,0.4599408984841066,0.8408674963396779,0.44049586776859506,0.31735537190082647,0.5636363636363636
32,0.00023037401924684952,0.5953051974501583,0.7922498216633962,0.31727557590992045,0.20884267070693158,0.4257084811129093,0.4498686091302183,0.8442898975109809,0.4479338842975207,0.33168044077134984,0.5641873278236914
33,0.00022635621236255572,0.5836710206522133,0.7964911560997956,0.3281395268757963,0.22089459729348163,0.43538445645811097,0.44438700357416117,0.846980234260615,0.4590909090909091,0.34793388429752065,0.5702479338842975
34,0.00022226305111525731,0.5742233578160727,0.7994721692340301,0.3355084191315726,0.22220309218002135,0.44881374608312385,0.4484947906381171,0.8464311859443631,0.44958677685950416,0.31763085399449037,0.5815426997245179
35,0.00021809857496093204,0.5660224449806546,0.8026423445166907,0.34590751007196724,0.23177576529733823,0.4600392548465962,0.43452527856367024,0.8503843338213762,0.45977961432506886,0.34517906336088156,0.5743801652892562
36,0.00021386689373476092,0.5583164260863256,0.8052268008578389,0.35165800075754966,0.2343583209944561,0.46895768052064324,0.4305544994094155,0.8516837481698389,0.4706611570247934,0.34628099173553717,0.5950413223140496
37,0.00020957218359521712,0.546813069062351,0.8094612981081506,0.35956062119073035,0.24458524155504288,0.47453600082641784,0.4231579870724481,0.85349560761347,0.4696969696969697,0.3537190082644628,0.5856749311294766
38,0.00020521868290270177,0.5403948550254516,0.8110931065210801,0.3648290348128508,0.24737440170793018,0.48228366791777144,0.40822790161637235,0.860688140556369,0.4960055096418733,0.37961432506887055,0.6123966942148761
39,0.00020081068803679377,0.5298061335322031,0.8153868593841519,0.3745566612719948,0.25381357391274406,0.4952997486312455,0.40521179818581615,0.861292093704246,0.4946280991735537,0.3790633608815427,0.6101928374655647
40,0.00019635254915624216,0.5250566147981295,0.8171029930921629,0.3782238903619021,0.2605282187252505,0.49591956199855375,0.402684939876404,0.8608162518301611,0.4914600550964187,0.3699724517906336,0.6129476584022039
41,0.00019184866590588444,0.516327862894973,0.8196737750611358,0.38609207671912127,0.26872352880410455,0.503460624634138,0.40805497125160595,0.8598645680819912,0.4818181818181818,0.36143250688705236,0.6022038567493113
42,0.00018730348307472821,0.5092850011786845,0.8219505580283378,0.3920319548224923,0.272063634172377,0.5120002754726077,0.3992268013395882,0.861822840409956,0.4922865013774105,0.3746556473829201,0.6099173553719008
43,0.00018272148620948142,0.501759749990222,0.8245486887416614,0.39721428325470887,0.274956096553149,0.5194724699562687,0.3905184472723769,0.8669289897510981,0.509641873278237,0.38898071625344355,0.6303030303030303
44,0.00017810719718785875,0.4967767518498731,0.8268550995152435,0.4037567576874075,0.28184291174546333,0.5256706036293516,0.3851344248315848,0.8663067349926794,0.5041322314049587,0.3741046831955923,0.634159779614325
45,0.00017346516975603468,0.4893907358801475,0.8287717906818269,0.40811266829654624,0.2862504734685445,0.529974863124548,0.3824731096420078,0.8691434846266471,0.5148760330578512,0.3785123966942149,0.6512396694214876
46,0.0001687999850346457,0.48204710824377695,0.8314610838763199,0.41555042870424574,0.29341276126855137,0.5376880961399401,0.3858088547861609,0.8666727672035139,0.5101928374655648,0.38236914600550964,0.6380165289256199
47,0.00016411624699777717,0.4746375512429856,0.8339042383716557,0.42035398230088494,0.2963740918012465,0.5443338728005234,0.3762504931816385,0.8708089311859444,0.5169421487603306,0.39614325068870526,0.6377410468319559
48,0.00015941857792939706,0.47133168900174294,0.8351622806117914,0.4239351262008884,0.3015392031954823,0.5463310492062945,0.3733331405098445,0.8718155197657393,0.5144628099173554,0.3884297520661157,0.640495867768595
49,0.00015471161386171927,0.46466648540468586,0.8374367845169642,0.43101132881099136,0.3069109190454874,0.5551117385764953,0.367241277477958,0.8743228404099561,0.5205234159779615,0.4,0.6410468319559228
50,0.00015000000000000001,0.45845078882310375,0.83952440533574,0.43454082159705243,0.309114699907028,0.5599669432870769,0.36969288273947953,0.8724011713030747,0.5148760330578512,0.39834710743801655,0.631404958677686
51,0.00014528838613828078,0.4542004633022075,0.8410012375306819,0.43743328397782444,0.31097414000895285,0.563892427946696,0.35907956964385085,0.876683748169839,0.5355371900826447,0.41074380165289254,0.6603305785123967
52,0.00014058142207060302,0.4494653870643924,0.8426421621917284,0.4420818842326366,0.31741331221376673,0.5667504562515064,0.35622072996515214,0.8773243045387994,0.5349862258953169,0.41019283746556473,0.6597796143250688
53,0.00013588375300222289,0.44383496376610276,0.8445839230406333,0.44884818015908545,0.3256086222926208,0.5720877380255501,0.35744472725660675,0.877617130307467,0.5352617079889808,0.41652892561983473,0.6539944903581267
54,0.0001312000149653544,0.43985996166375185,0.845762198109746,0.4515684721600496,0.3287076891291622,0.5744292551909369,0.3494162604171711,0.8796303074670571,0.5385674931129476,0.4121212121212121,0.6650137741046832
55,0.0001265348302439654,0.43508654322810897,0.8472754952971555,0.45370338486966705,0.32736476016666094,0.5800420095726732,0.35550087680501385,0.8767935578330893,0.5290633608815427,0.4038567493112948,0.6542699724517906
56,0.00012189280281214134,0.4321309980064675,0.848699909065425,0.4582486828965945,0.33001618401570193,0.586481181777487,0.35028781337514725,0.879300878477306,0.5402203856749311,0.4115702479338843,0.668870523415978
57,0.00011727851379051869,0.4275224058716994,0.8503864149670561,0.4620536482903481,0.33635205399263113,0.5877552425880651,0.34418314605048206,0.8816434846266471,0.5410468319559228,0.41707988980716254,0.6650137741046832
58,0.0001126965169252718,0.4251961927453183,0.8504752983861962,0.462707895733618,0.33600771323301537,0.5894080782342206,0.3434346423168813,0.8818448023426062,0.5422865013774105,0.4184573002754821,0.6661157024793388
59,0.00010815133409411566,0.42085798086942233,0.8524147801730719,0.46566922626631313,0.33924451637340314,0.5920939361592231,0.3395759162659816,0.8827415812591508,0.5433884297520661,0.41818181818181815,0.6685950413223141
60,0.00010364745084375796,0.4173660386555254,0.8533788234114368,0.46840673530525806,0.340380840880135,0.5964326297303811,0.34337191476637996,0.8826683748169839,0.5409090909090909,0.4132231404958678,0.6685950413223141
61,9.918931196320633e-05,0.41416848306382337,0.8542813319750123,0.47271099480045453,0.34589029303398644,0.5995316965669226,0.33944280697622903,0.8836932650073206,0.5461432506887053,0.41680440771349864,0.6754820936639119
62,9.478131709729838e-05,0.40935193164212075,0.8562937437468235,0.4771874246754588,0.34888605764264313,0.6054887917082745,0.33228193601957695,0.8864751098096633,0.5556473829201102,0.4308539944903581,0.6804407713498623
