epoch,val_sequence_accuracy,val_loss
1,0.01046831955922865,1.4921733672953834
2,0.05537190082644628,1.115795758637515
3,0.09696969696969697,0.9791641651106274
4,0.12038567493112948,0.904156636567812
5,0.13870523415977962,0.8671558836603296
6,0.1522038567493113,0.8376361404240296
7,0.18677685950413223,0.7904899836571748
8,0.18691460055096418,0.7675197580957545
9,0.19228650137741046,0.7609230042817507
10,0.20826446280991737,0.7331636801238888
11,0.22796143250688705,0.7111196290034565
12,0.2325068870523416,0.693268485240043
13,0.2611570247933884,0.6717585664150143
14,0.2676308539944904,0.6585408420930552
15,0.28994490358126723,0.6379488907569696
16,0.28732782369146004,0.6272856331068623
17,0.30633608815427,0.6123819959065145
18,0.31831955922865013,0.5972101352431557
19,0.3265840220385675,0.5908071642079629
20,0.3298898071625344,0.5737943197905853
21,0.3643250688705234,0.553773640633943
22,0.36680440771349865,0.5464400254990444
23,0.3699724517906336,0.5414536974646829
24,0.375068870523416,0.5249828178035326
25,0.36928374655647384,0.5313363199720041
26,0.4044077134986226,0.5030449460196429
27,0.4086776859504132,0.49404141602437357
28,0.41887052341597797,0.4807071076608558
29,0.42355371900826444,0.479406239014355
30,0.4287878787878788,0.4718633994090656
31,0.44049586776859506,0.4599408984841066
32,0.4479338842975207,0.4498686091302183
33,0.4590909090909091,0.44438700357416117
34,0.44958677685950416,0.4484947906381171
35,0.45977961432506886,0.43452527856367024
36,0.4706611570247934,0.4305544994094155
37,0.4696969696969697,0.4231579870724481
38,0.4960055096418733,0.40822790161637235
39,0.4946280991735537,0.40521179818581615
40,0.4914600550964187,0.402684939876404
41,0.4818181818181818,0.40805497125160595
42,0.4922865013774105,0.3992268013395882
43,0.509641873278237,0.3905184472723769
44,0.5041322314049587,0.3851344248315848
45,0.5148760330578512,0.3824731096420078
46,0.5101928374655648,0.3858088547861609
47,0.5169421487603306,0.3762504931816385
48,0.5144628099173554,0.3733331405098445
49,0.5205234159779615,0.367241277477958
50,0.5148760330578512,0.36969288273947953
51,0.5355371900826447,0.35907956964385085
52,0.5349862258953169,0.35622072996515214
53,0.5352617079889808,0.35744472725660675
54,0.5385674931129476,0.3494162604171711
55,0.5290633608815427,0.35550087680501385
56,0.5402203856749311,0.35028781337514725
57,0.5410468319559228,0.34418314605048206
58,0.5422865013774105,0.3434346423168813
59,0.5433884297520661,0.3395759162659816
60,0.5409090909090909,0.34337191476637996
61,0.5461432506887053,0.33944280697622903
62,0.5556473829201102,0.33228193601957695
63,0.55,0.33726176514441647
64,0.5537190082644629,0.3333507170526121
65,0.5488980716253443,0.33263193638199945
66,0.5571625344352618,0.3280064780850056
67,0.5494490358126721,0.33197243371285684
68,0.5575757575757576,0.3274676349865832
69,0.5617079889807163,0.32290808487857997
70,0.5612947658402204,0.32515115215758644
71,0.559228650137741,0.322874204728229
72,0.5606060606060606,0.32366325388926775
73,0.5622589531680441,0.31815978546444706
74,0.5659779614325069,0.3161629987321281
75,0.5681818181818182,0.3150810361811609
76,0.565564738292011,0.3178397435458895
77,0.5647382920110193,0.3181054068334175
78,0.5724517906336088,0.31506741524727877
79,0.565564738292011,0.3150770872913445
80,0.5672176308539945,0.31567535009594333
81,0.5679063360881542,0.3134935862926084
82,0.5707988980716253,0.31318643332020313
83,0.5677685950413223,0.3133354938145183
84,0.5681818181818182,0.313494168825386
85,0.5644628099173554,0.31306552624242695
86,0.5692837465564738,0.31183613601959115
87,0.5706611570247934,0.3129810071845357
88,0.568870523415978,0.3119533369117532
89,0.5706611570247934,0.31061198416656044
90,0.5692837465564738,0.311823530827672
91,0.5723140495867769,0.310360236584976
92,0.5695592286501377,0.3110677510089454
93,0.5714876033057851,0.311311407883962
94,0.5713498622589531,0.3113156978256446
95,0.5706611570247934,0.31049622964760487
96,0.5702479338842975,0.31008986752716305
97,0.5696969696969697,0.31025958051366254
98,0.5701101928374656,0.3102053130953765
99,0.5706611570247934,0.3103146184902874
100,0.5706611570247934,0.31031446439668164
