saved_at,epoch,batch_idx
2026-05-03T15:17:03,1,0
2026-05-03T15:17:13,2,0
2026-05-03T15:17:21,3,0
2026-05-03T15:17:30,4,0
2026-05-03T15:17:39,5,0
2026-05-03T15:17:47,6,0
2026-05-03T15:17:56,7,0
2026-05-03T15:18:05,8,0
2026-05-03T15:18:13,9,0
2026-05-03T15:18:22,10,0
2026-05-03T15:18:30,11,0
2026-05-03T15:18:38,12,0
2026-05-03T15:18:47,13,0
2026-05-03T15:18:55,14,0
2026-05-03T15:19:04,15,0
2026-05-03T15:19:12,16,0
2026-05-03T15:19:21,17,0
2026-05-03T15:19:29,18,0
2026-05-03T15:19:37,19,0
2026-05-03T15:19:46,20,0
2026-05-03T15:19:54,21,0
2026-05-03T15:20:02,22,0
2026-05-03T15:20:11,23,0
2026-05-03T15:20:19,24,0
2026-05-03T15:20:27,25,0
2026-05-03T15:20:36,26,0
2026-05-03T15:20:44,27,0
2026-05-03T15:20:52,28,0
2026-05-03T15:21:01,29,0
2026-05-03T15:21:09,30,0
2026-05-03T15:21:17,31,0
2026-05-03T15:21:26,32,0
2026-05-03T15:21:34,33,0
2026-05-03T15:21:42,34,0
2026-05-03T15:21:51,35,0
2026-05-03T15:21:59,36,0
2026-05-03T15:22:07,37,0
2026-05-03T15:22:16,38,0
2026-05-03T15:22:24,39,0
2026-05-03T15:22:32,40,0
2026-05-03T15:22:41,41,0
2026-05-03T15:22:49,42,0
2026-05-03T15:22:57,43,0
2026-05-03T15:23:06,44,0
2026-05-03T15:23:14,45,0
2026-05-03T15:23:23,46,0
2026-05-03T15:23:31,47,0
2026-05-03T15:23:39,48,0
2026-05-03T15:23:48,49,0
2026-05-03T15:23:56,50,0
2026-05-03T15:24:04,51,0
2026-05-03T15:24:12,52,0
2026-05-03T15:24:21,53,0
2026-05-03T15:24:29,54,0
2026-05-03T15:24:37,55,0
2026-05-03T15:24:46,56,0
2026-05-03T15:24:54,57,0
2026-05-03T15:25:02,58,0
2026-05-03T15:25:11,59,0
2026-05-03T15:25:19,60,0
2026-05-03T15:25:27,61,0
2026-05-03T15:25:35,62,0
2026-05-03T15:25:44,63,0
2026-05-03T15:25:53,64,0
2026-05-03T15:26:01,65,0
2026-05-03T15:26:09,66,0
2026-05-03T15:26:18,67,0
2026-05-03T15:26:26,68,0
2026-05-03T15:26:34,69,0
2026-05-03T15:26:42,70,0
2026-05-03T15:26:51,71,0
2026-05-03T15:26:59,72,0
2026-05-03T15:27:07,73,0
2026-05-03T15:27:16,74,0
2026-05-03T15:27:24,75,0
2026-05-03T15:27:32,76,0
2026-05-03T15:27:41,77,0
2026-05-03T15:27:49,78,0
2026-05-03T15:27:57,79,0
2026-05-03T15:28:06,80,0
2026-05-03T15:28:14,81,0
2026-05-03T15:28:23,82,0
2026-05-03T15:28:31,83,0
2026-05-03T15:28:40,84,0
2026-05-03T15:28:48,85,0
2026-05-03T15:28:57,86,0
2026-05-03T15:29:05,87,0
2026-05-03T15:29:13,88,0
2026-05-03T15:29:22,89,0
2026-05-03T15:29:30,90,0
2026-05-03T15:29:38,91,0
2026-05-03T15:29:46,92,0
2026-05-03T15:29:55,93,0
2026-05-03T15:30:03,94,0
2026-05-03T15:30:11,95,0
2026-05-03T15:30:19,96,0
2026-05-03T15:30:27,97,0
2026-05-03T15:30:36,98,0
2026-05-03T15:30:44,99,0
2026-05-03T15:30:52,100,0
