epoch,finished_at,seconds,train_loss,train_token_accuracy,train_sequence_accuracy,val_loss,val_token_accuracy,val_sequence_accuracy,learning_rate
1,2026-05-03T15:17:03,8.85,3.1769970493978867,0.13559424935645248,0.0,2.78004773907946,0.22237883204664124,0.0,2.5578180743997194e-05
2,2026-05-03T15:17:12,7.5,2.6612305238328866,0.26389091262324543,0.0,2.458039417698209,0.31803184162475573,0.0,3.0295426764456084e-05
3,2026-05-03T15:17:21,7.46,2.3783370516682223,0.3528461799990286,0.0,2.1858692595206954,0.39981420379921195,0.0,3.8100038986138974e-05
4,2026-05-03T15:17:30,7.54,2.1140519022687796,0.40935289070215486,7.246901949416625e-05,1.9043120669765652,0.44283563442995805,0.0,4.89064820706946e-05
5,2026-05-03T15:17:38,7.5,1.8619389484188533,0.4441206469473991,0.00025364156822958186,1.637108357917202,0.4885799404170804,0.0011597564511452595,6.259632184876774e-05
6,2026-05-03T15:17:47,7.13,1.639946892940782,0.48318276749720723,0.0015580839191245742,1.4185413145089503,0.5393855911842906,0.0057987822557262975,7.901952330975994e-05
7,2026-05-03T15:17:56,7.26,1.4667591047137993,0.5211035018699306,0.004094499601420392,1.2697370035382487,0.5717717910113079,0.009278051609162076,9.799609492380638e-05
8,2026-05-03T15:18:05,7.2,1.3415276222149912,0.5507876374115628,0.008551344300311617,1.161918149949281,0.5993849505077362,0.017976224992751522,0.00011931806127487692
9,2026-05-03T15:18:13,7.21,1.2492014651662942,0.5741212945423931,0.012428436843249511,1.0837083002084893,0.6211679533587469,0.02377500724847782,0.00014275174238575323
10,2026-05-03T15:18:22,7.27,1.179362363170172,0.5924887075622906,0.016740343503152403,1.023329481916409,0.6395233366434955,0.0272542766019136,0.00016804031475442044
11,2026-05-03T15:18:30,7.21,1.1207122708575306,0.6083993070733563,0.021052250163055293,0.9767481249311364,0.6580709228945767,0.03450275442157147,0.00019490662603396583
12,2026-05-03T15:18:38,7.18,1.0761894425614729,0.6231442355950588,0.025798970939923182,0.9418828535397674,0.6674248005894224,0.04812989272252827,0.0002230562325082534
13,2026-05-03T15:18:47,7.27,1.0390617699275382,0.634533812553629,0.03217624465540981,0.9121816599052477,0.6767786782842682,0.061177152797912436,0.00025218062607388833
14,2026-05-03T15:18:55,7.23,1.0047518352396811,0.645312221736526,0.03637944778607145,0.8828311370398755,0.6891117019572669,0.06987532618150188,0.00028196061536208
15,2026-05-03T15:19:03,7.08,0.977793511563132,0.6544109314035003,0.0429378940502935,0.8500277564451292,0.7017650639074863,0.08756161206146709,0.00031206982394469594
16,2026-05-03T15:19:12,7.22,0.9504808758586153,0.6628215713892531,0.04540184071309515,0.848780160117593,0.702501841945094,0.08466222093360394,0.0003421782672856105
17,2026-05-03T15:19:21,7.26,0.9273580526368403,0.6712726860621367,0.05250380462352344,0.8147582237574691,0.7123362270557709,0.09596984633227022,0.00037195596923543235
18,2026-05-03T15:19:29,7.09,0.9027841391941519,0.6805940065083297,0.06091021088484673,0.8011871881845779,0.7167248614536951,0.10002899391127863,0.00040107657843431644
19,2026-05-03T15:19:37,7.13,0.8810077007829005,0.6871347159486457,0.06493224146677296,0.763063905509624,0.7312041515840728,0.12380400115975645,0.00042922094498857406
20,2026-05-03T15:19:46,7.07,0.8640689252236544,0.693205919018246,0.0687006304804696,0.7635913612799256,0.7332543165582855,0.13511162655842274,0.0004560806182221782
21,2026-05-03T15:19:54,7.04,0.8460519322125659,0.6988480904042612,0.07167186027973041,0.7331172366708514,0.7395329467918121,0.13395187010727747,0.0004813612271692443
22,2026-05-03T15:20:02,7.17,0.8293376586016373,0.7044214548221542,0.0811290673237191,0.7218732917530676,0.7449146298491207,0.1440997390547985,0.0005047857067586838
23,2026-05-03T15:20:11,7.08,0.8121602619279283,0.711913319410041,0.08482498731792158,0.6986054736474905,0.7545888458211871,0.16062626848361844,0.0005260973343333702
24,2026-05-03T15:20:19,7.06,0.796807895849064,0.7158150792494374,0.09170954416986739,0.6911880725220638,0.7540122369221899,0.16265584227312263,0.0005450625432248202
25,2026-05-03T15:20:27,7.13,0.7804445491399764,0.721845807631907,0.10138415827233857,0.6737579678681093,0.7619886600249863,0.16845462452884893,0.0005614734825477672
26,2026-05-03T15:20:35,7.12,0.7652038458320347,0.7271358492398854,0.10772519747807813,0.6504896482010076,0.7696767786782843,0.18788054508553204,0.0005751502951603335
27,2026-05-03T15:20:44,7.12,0.74796746486621,0.7344698625479625,0.11210957315747518,0.6572853690665159,0.765256110452638,0.1757031023485068,0.0005859430888242942
28,2026-05-03T15:20:52,7.16,0.731493484304541,0.7391042142244241,0.1213131386332343,0.6321450407914326,0.7771726943652497,0.2046970136271383,0.000593733578962327
29,2026-05-03T15:21:00,7.15,0.7139222447746365,0.7460780028170382,0.13149503587216466,0.6089607576503727,0.7856936925393215,0.21600463902580458,0.000598436385008306
30,2026-05-03T15:21:09,7.17,0.6974904542209235,0.7515704178606699,0.1421479817378071,0.5926703717276155,0.7932536758817311,0.2418092200637866,0.0005999999935243154
31,2026-05-03T15:21:17,7.13,0.6793154422701894,0.7591027571356873,0.15493876367852744,0.5697774386554494,0.8003972194637538,0.256886053928675,0.0005996951181448714
32,2026-05-03T15:21:25,7.13,0.6583394032829751,0.7665946217235741,0.1631277628813682,0.5646518539560594,0.802639587404299,0.2687735575529139,0.0005987866990983382
33,2026-05-03T15:21:34,7.15,0.6420974810989581,0.773191995725873,0.17979563736502646,0.5438308119582929,0.8094948265368229,0.27805160916207594,0.0005972765658197807
34,2026-05-03T15:21:42,7.16,0.6239258269676176,0.7793643855133,0.18939778244800348,0.5171845885367848,0.8184642982990038,0.32067265874166423,0.0005951677595166494
35,2026-05-03T15:21:50,7.04,0.6093047370752598,0.7851846455226901,0.20613812595115588,0.5026127966737505,0.8246147932216421,0.3348796752681937,0.0005924645270441936
36,2026-05-03T15:21:59,7.13,0.5927343950245387,0.7913327504978387,0.21657366475831583,0.5008683636396475,0.823301406285037,0.3209625978544506,0.0005891723123528592
37,2026-05-03T15:22:07,7.12,0.576438367177773,0.7969020674470186,0.22697296905572867,0.4903263630886709,0.8268571611621872,0.3276311974485358,0.0005852977455248981
38,2026-05-03T15:22:15,7.23,0.5622975587922531,0.8019330710573608,0.23889412276251903,0.4648568501460482,0.837492391965916,0.36590316033632936,0.0005808486294222642
39,2026-05-03T15:22:24,7.17,0.5505596699940778,0.8063448119546036,0.24961953764765563,0.46026812668937617,0.8378127302431367,0.36358364743403887,0.0005758339239726883
40,2026-05-03T15:22:32,7.16,0.5344972871809077,0.8116793757184257,0.2644394521342126,0.4482275658564652,0.8448281385142711,0.38300956799072194,0.0005702637281255756
41,2026-05-03T15:22:41,7.1,0.5211115967378773,0.8163906293004355,0.27940430465975796,0.43327655460999703,0.8475510138706474,0.3801101768628588,0.0005641492595140657
42,2026-05-03T15:22:49,7.15,0.5097311885778759,0.8202721517962667,0.28241176896876585,0.43819724463307547,0.8470384726270942,0.38967816758480717,0.0005575028318642129
43,2026-05-03T15:22:57,7.16,0.4970942803941544,0.8242386711350721,0.295564896006957,0.4242131999273542,0.8503379568824679,0.3919976804870977,0.0005503378301967796
44,2026-05-03T15:23:06,7.14,0.4874399844632135,0.8281120986934771,0.30451481991448653,0.4193983206932796,0.851683377646795,0.3899681066975935,0.000542668683871587
45,2026-05-03T15:23:14,7.16,0.4760501978794878,0.8321919471562484,0.3123414740198565,0.41482068811976086,0.8552711663516673,0.4146129312844303,0.0005345108375287039
46,2026-05-03T15:23:23,7.16,0.4670988032641517,0.8348187543510288,0.32024059714472064,0.4204747111152273,0.8532210013774546,0.3992461583067556,0.0005258807199849971
47,2026-05-03T15:23:31,7.1,0.4595868220659524,0.8373200900157042,0.3262917602724835,0.4042609340006504,0.8572252298427139,0.40446506233690926,0.000516795711148681
48,2026-05-03T15:23:39,7.13,0.4486269684258781,0.8414808878527369,0.33698094064787304,0.4018954517316875,0.8608130185475863,0.41693244418672076,0.000507274107018495
49,2026-05-03T15:23:47,7.12,0.441380367068038,0.8437555652694805,0.3420537720124647,0.3967831749258415,0.861998270173303,0.41345317483328503,0.0004973350828379972
50,2026-05-03T15:23:56,7.04,0.4325738560285257,0.8462245211844512,0.34524240887020796,0.3863964799037256,0.8659063971553961,0.43693824296897654,0.0004869986544791756
51,2026-05-03T15:24:04,7.19,0.4280660625085844,0.8489120404099276,0.3559315892455975,0.38700851957585,0.8647211455296794,0.43026964337489126,0.00047628563813314595
52,2026-05-03T15:24:12,7.11,0.4178729445453402,0.8518626451017534,0.3599898543372708,0.3768939774218637,0.8683730018899959,0.43171933893882286,0.00046521760838911255
53,2026-05-03T15:24:20,7.17,0.4102680934650227,0.8541777972056276,0.36571490687730995,0.38161376511225403,0.8687894416503829,0.4395476949840533,0.00045381685478601764
54,2026-05-03T15:24:29,7.23,0.4084981491641668,0.8538297148963039,0.36749039785491705,0.37686734542904116,0.8680526636127751,0.43577848651783124,0.0004421063369243754
55,2026-05-03T15:24:37,7.14,0.40193066060020033,0.8566548480580245,0.3698818754982245,0.3691427200559116,0.8717365538008136,0.4462162945781386,0.0004301096382286927
56,2026-05-03T15:24:46,7.1,0.395686688969289,0.8589335729434812,0.37836075077904197,0.3639869899188708,0.8730179069096966,0.44940562481878804,0.00041785091845359046
57,2026-05-03T15:24:54,7.17,0.3878013518335494,0.8608601680509009,0.3845568519457932,0.3706848297845616,0.8712880802127047,0.4450565381269933,0.000405354865029273
58,2026-05-03T15:25:02,7.08,0.3841126501664672,0.8621513105703693,0.38723820566707734,0.36532128161942895,0.8708075727968735,0.44215714699913017,0.00039264664334432944
59,2026-05-03T15:25:10,7.13,0.37934919885572954,0.8639645765538232,0.39028190448583233,0.3603746047960741,0.8742672261908575,0.45549434618730067,0.00037975184606598957
60,2026-05-03T15:25:19,7.25,0.37268035311912234,0.8666966179351434,0.3983984346691789,0.3560458088007446,0.8767017970977352,0.45520440707451437,0.00036669644159989854
61,2026-05-03T15:25:27,7.05,0.3673300779100838,0.8678501465183674,0.39807232408145515,0.35617278519443024,0.8745875644680783,0.45056538126993334,0.0003535067217932033
62,2026-05-03T15:25:35,7.17,0.36360356417422657,0.8689470105396085,0.40184071309515185,0.35322508773200123,0.8768619662363456,0.4534647723977965,0.0003402092489862721
63,2026-05-03T15:25:44,7.3,0.3590058820110129,0.8708695581783152,0.4057540401478368,0.3530827842484058,0.8790082326937245,0.45288489417222383,0.00032683080251967546
64,2026-05-03T15:25:52,7.08,0.3555122366702514,0.8725087830071073,0.41140662366838177,0.35412558582337955,0.8772784059967326,0.4534647723977965,0.0003133983248041583
65,2026-05-03T15:26:01,7.19,0.350141390708659,0.8737513559020189,0.4130009420972534,0.3497157089831557,0.8793926386263895,0.45955349376630905,0.00029993886706221
66,2026-05-03T15:26:09,7.19,0.3461738273806937,0.8749372642349474,0.41832741503007465,0.34235230892267515,0.8806419579075504,0.4581037982023775,0.00028647953485050315
67,2026-05-03T15:26:17,7.05,0.34082062467193275,0.877272653682387,0.4236176534531488,0.3429610293381119,0.8803216196303296,0.45288489417222383,0.00027304743347290845
68,2026-05-03T15:26:26,7.16,0.3403557544013813,0.8770176631534639,0.42329154286542503,0.34089686522010837,0.8821155139827658,0.46912148448825747,0.00025966961339402136
69,2026-05-03T15:26:34,7.19,0.33453058625022153,0.8790737772597018,0.4248858612942967,0.3458835567597504,0.8802575519748855,0.45143519860829223,0.0002463730157631251
70,2026-05-03T15:26:42,7.13,0.33148128553105094,0.8796889925040879,0.4253206754112617,0.33988707492353976,0.8812826344619918,0.4598434328790954,0.00023318441815830212
71,2026-05-03T15:26:51,7.13,0.32749240550009595,0.8811825084592096,0.4323501703021958,0.34043648220935463,0.8836531377134254,0.4670919106987533,0.0002201303806599553
72,2026-05-03T15:26:59,7.11,0.3251417610193417,0.8825141256658086,0.4373505326472933,0.3373804263758408,0.8837492391965917,0.4615830675558133,0.0002072371923623406
73,2026-05-03T15:27:07,7.22,0.32220639847879406,0.8828176858192887,0.4349952895137329,0.3356159409684069,0.8837492391965917,0.46419251957089014,0.00019453081843083024
74,2026-05-03T15:27:15,7.19,0.3194902541292986,0.8848576100506743,0.4435103993042974,0.3400787350326031,0.8812826344619918,0.45520440707451437,0.0001820368478115244
75,2026-05-03T15:27:24,7.19,0.31634397283008275,0.8847766606764129,0.43981447931009493,0.3392849522999753,0.8827241567094852,0.46419251957089014,0.00016978044169852014
76,2026-05-03T15:27:32,7.24,0.31253132361576175,0.8864563601923358,0.44550329734038696,0.33689657449254495,0.883492968574815,0.46448245868367644,0.00015778628286261396
77,2026-05-03T15:27:41,7.15,0.3112938545917738,0.8867477779396765,0.44727878831799406,0.3330797030717477,0.8847422878559759,0.46506233690924903,0.0001460785259434875
78,2026-05-03T15:27:49,7.09,0.3097826871370616,0.8868287273139379,0.4453945938111457,0.3332200886044843,0.8850946599609187,0.4653522760220354,0.00013468074880547664
79,2026-05-03T15:27:57,7.21,0.3080140695544354,0.8877717875240825,0.44923545184433655,0.33311287213959273,0.8849985584777526,0.46622209336039433,0.00012361590505489124
80,2026-05-03T15:28:06,7.28,0.3029235813131693,0.8892369711982127,0.45115588086093195,0.3344397052984569,0.8851587276163628,0.4702812409394027,0.00011290627781450651
81,2026-05-03T15:28:14,7.11,0.3017928224389097,0.8894433921025791,0.4556127255598232,0.3316508372911756,0.8856712688599161,0.46883154537547117,0.00010257343484831915
82,2026-05-03T15:28:22,7.26,0.29918026497341577,0.8898440915051726,0.45271396478005654,0.331895795872356,0.8854790658935836,0.46419251957089014,9.263818512694133e-05
83,2026-05-03T15:28:31,7.24,0.2968444907763513,0.8916533100199135,0.457714327125154,0.33096062883633987,0.886055674792581,0.46506233690924903,8.312053692110236e-05
84,2026-05-03T15:28:39,7.16,0.29617115326902094,0.8918071138310101,0.4584027828103486,0.3300733136615018,0.8859916071371369,0.4682516671498985,7.403965750765565e-05
85,2026-05-03T15:28:48,7.1,0.2951582892310069,0.8912688004921722,0.45463439379665194,0.32971370484822304,0.8855751673767498,0.4665120324731806,6.541383456923211e-05
86,2026-05-03T15:28:57,7.21,0.29514682488481747,0.8915966454579306,0.457714327125154,0.33114744189271145,0.8857033026876382,0.4665120324731806,5.726043936528292e-05
87,2026-05-03T15:29:05,7.13,0.2911596247902501,0.8924547088251008,0.4600333357489673,0.3284356609823634,0.8859916071371369,0.4656422151348217,4.9595891748673224e-05
88,2026-05-03T15:29:13,7.18,0.29038965673378536,0.8929808797577995,0.4582578447713602,0.32945694963058386,0.8872729602460198,0.471440997390548,4.243562709828498e-05
89,2026-05-03T15:29:21,7.19,0.2898492091143941,0.8940858387164667,0.46423653887962896,0.32932527280052015,0.8871127911074094,0.4702812409394027,3.5794065234217133e-05
90,2026-05-03T15:29:30,7.05,0.2890802997543474,0.8936891867825861,0.4599971012392202,0.32830553022235803,0.8871127911074094,0.4679617280371122,2.9684581378187385e-05
91,2026-05-03T15:29:38,7.19,0.2894156736983807,0.8935960950021856,0.46253351692151606,0.3290549281420231,0.8872409264182978,0.46767178892432587,2.4119479217615633e-05
92,2026-05-03T15:29:46,7.17,0.2885151773550409,0.8939886994673532,0.46380172476266396,0.32862833924165513,0.8868885543133549,0.46477239779646273,1.910996612763485e-05
93,2026-05-03T15:29:54,7.11,0.2859203093576422,0.8944905855877734,0.46470758750634106,0.32831065005169596,0.8876253323509626,0.4670919106987533,1.4666130600929067e-05
94,2026-05-03T15:30:03,7.1,0.28594260936278804,0.8948386678970972,0.46445394593811146,0.32843871589034157,0.8874651632123522,0.4685416062626848,1.0796921930851673e-05
95,2026-05-03T15:30:11,7.15,0.2858940543311982,0.8944096362135121,0.4626422204507573,0.32843481219900894,0.8875292308677964,0.4670919106987533,7.510132188739892e-06
96,2026-05-03T15:30:19,7.09,0.28609969731422874,0.8946322469927307,0.46514240162330606,0.32806961678636065,0.8873690617291861,0.4685416062626848,4.812380531719589e-06
97,2026-05-03T15:30:27,7.18,0.2859074591817494,0.8946443893988699,0.4660482643669831,0.3281929481417875,0.8869846557965211,0.465932154247608,2.709099872604204e-06
98,2026-05-03T15:30:36,7.18,0.2854923566313814,0.8946889115547136,0.468186100442061,0.328012820691845,0.8873049940737419,0.4673818498115396,1.204525938730982e-06
99,2026-05-03T15:30:44,7.17,0.28587722904492985,0.8949358071462108,0.4625697514312631,0.32804381853539294,0.8871768587628536,0.4670919106987533,3.016887417702029e-07
100,2026-05-03T15:30:52,7.2,0.28546528360254897,0.8948224780222449,0.4649974635843177,0.3280320619459541,0.8871768587628536,0.4670919106987533,2.406475684531708e-09
