epoch,finished_at,seconds,train_loss,train_token_accuracy,train_sequence_accuracy,val_loss,val_token_accuracy,val_sequence_accuracy,learning_rate
1,2026-05-03T13:13:32,8.15,3.228432062460982,0.13449144307612984,0.0,2.8122760209399105,0.2209006487724208,0.0,2.5578176278661974e-05
2,2026-05-03T13:13:41,6.83,2.666924268510455,0.26590913597874155,0.0,2.4591562731425856,0.32514947207734385,0.0,3.0295409000991014e-05
3,2026-05-03T13:13:49,7.01,2.3877261580174975,0.3524897376405497,3.5892466171350634e-05,2.215906359087555,0.40898104566849003,0.0,3.8099999383769956e-05
4,2026-05-03T13:13:56,6.8,2.146867983087371,0.42735835960893964,0.0,1.9418124515596895,0.4758300470678031,0.0,4.890641257000738e-05
5,2026-05-03T13:14:04,6.83,1.9035258403716007,0.47444821226723777,0.00014356986468540254,1.669621859569917,0.5167281516346521,0.0002871912693854107,6.259621505312022e-05
6,2026-05-03T13:14:13,6.89,1.6724159036161246,0.5085172625775874,0.0015792685115394278,1.4204486820393278,0.5664991731331892,0.004595060310166571,7.901937265575841e-05
7,2026-05-03T13:14:21,6.82,1.465803878594852,0.5464691534297103,0.006532428843185815,1.2052034395839888,0.6140440147563924,0.022400919012062034,9.79958948379968e-05
8,2026-05-03T13:14:29,6.9,1.29394533952238,0.5836159200428342,0.01816158788270342,1.0432534675730987,0.6544968833481746,0.056002297530155086,0.00011931780731400565
9,2026-05-03T13:14:38,6.9,1.1653755525713656,0.6170226267674064,0.03363124080255554,0.9290300759915374,0.6866174786922783,0.08845491097070649,0.00014275143135819216
10,2026-05-03T13:14:46,6.87,1.0638068203864433,0.6459039800107086,0.05294138760274218,0.8466703979803881,0.7110100496120086,0.11746122917863297,0.00016803994482062856
11,2026-05-03T13:14:54,6.98,0.9842626087248596,0.6694112281119242,0.07702523240371846,0.7737301565463148,0.7352118051138532,0.15996553704767374,0.00019490619678416867
12,2026-05-03T13:15:03,6.94,0.920272502137821,0.6896622840938387,0.09504325042173647,0.712054343075944,0.7576962218547258,0.21079839172889145,0.0002230557450158583
13,2026-05-03T13:15:11,6.86,0.8695855612896851,0.7058004640371229,0.1165428376583755,0.6790376595262807,0.7708942882584913,0.24870763928776565,0.00025218008292351464
14,2026-05-03T13:15:19,6.95,0.8259659464987114,0.7193884228687013,0.13718100570690211,0.63200406271634,0.7877496501717339,0.28690407811602525,0.00028196002065146024
15,2026-05-03T13:15:27,6.92,0.7901638847223191,0.7307593154460904,0.15738846416137253,0.6192096759933746,0.7920747996438112,0.2986789201608271,0.00031206918326009573
16,2026-05-03T13:15:36,6.89,0.7574778616647045,0.7426220080512423,0.17860091166864075,0.5845506433196126,0.8037781452741382,0.32912119471568063,0.0003421775876508148
17,2026-05-03T13:15:44,7.06,0.7299554797399641,0.7517996311499792,0.19665482215283012,0.5678221878678937,0.8081987024551583,0.3385985066053992,0.00037195525903474394
