k,total,hits,top_k_accuracy,length_type,length_bucket,evaluation_source_col
1,1000,84,0.084,overall,all,arabic_stripped
3,1000,168,0.168,overall,all,arabic_stripped
5,1000,220,0.22,overall,all,arabic_stripped
10,1000,309,0.309,overall,all,arabic_stripped
