epoch,finished_at,seconds,train_loss,train_token_accuracy,train_sequence_accuracy,val_loss,val_token_accuracy,val_sequence_accuracy,learning_rate
1,2026-05-02T18:39:39,13.99,2.5843421249254304,0.2949003725352232,7.246954467385081e-06,2.0438769333249542,0.4280041059857574,0.0,2.557779152813236e-05
2,2026-05-02T18:39:52,12.73,1.8417399715738612,0.45743940938471367,0.0007246954467385082,1.5019282517886234,0.5231667415153654,0.002840909090909091,3.0293878431236093e-05
3,2026-05-02T18:40:05,12.33,1.4886694512443628,0.5188911227147704,0.004768496039539384,1.233455304727183,0.5843266824918201,0.013102968460111317,3.80965870845774e-05
4,2026-05-02T18:40:18,12.36,1.2934347791032648,0.5646754668430697,0.011464681967403198,1.0639016845613736,0.6316609995509078,0.031829777365491654,4.890042410197765e-05
5,2026-05-02T18:40:31,12.43,1.163137608335205,0.6012512843599171,0.021226329634970904,0.9580728375090318,0.6670943735163919,0.05310760667903525,6.258701307706614e-05
6,2026-05-02T18:40:43,12.38,1.0724918775921737,0.6289910295202384,0.031408300661646946,0.8809247885933053,0.6939180085969077,0.07195037105751391,7.900639162002402e-05
7,2026-05-02T18:40:56,12.36,1.0010438907184782,0.6522499880571734,0.043387516396234484,0.8165912006915766,0.7186886507987426,0.10615723562152134,9.797865447833554e-05
8,2026-05-02T18:41:09,12.32,0.9424663338193519,0.6718394624999292,0.056352317938386395,0.7578290551287112,0.7405466093539488,0.13723330241187384,0.00011929592473806065
9,2026-05-02T18:41:22,12.35,0.8915246346087315,0.6892419827197419,0.071795577908384,0.7122851264482895,0.7561878488483993,0.1647147495361781,0.0001427246315074029
10,2026-05-02T18:41:35,12.44,0.844798055981357,0.7051295857418034,0.08677503279246897,0.6672426536125744,0.7724064925899788,0.19208024118738404,0.00016800806912625283
11,2026-05-02T18:41:48,12.37,0.8030239280617861,0.7198496256429896,0.10205161280971671,0.6345334197948014,0.7833194328607173,0.20958951762523192,0.00019486920986074176
12,2026-05-02T18:42:01,12.45,0.7646857220127975,0.733755124282317,0.11885730021958273,0.596680516458662,0.7962853660101367,0.2395060296846011,0.00022301373926443319
13,2026-05-02T18:42:14,12.3,0.728779075480509,0.7460598793086277,0.13593837189920935,0.5697038080333677,0.804362609867197,0.2614795918367347,0.00025213328094804665
14,2026-05-02T18:42:26,12.4,0.6927124997186315,0.7587791921143338,0.15793287870772307,0.5356422716110338,0.8165458394816193,0.2905844155844156,0.0002819087754242798
15,2026-05-02T18:42:39,12.31,0.6565987178185101,0.7724790312302893,0.1812390842748335,0.5106686356583974,0.824238147173927,0.30490491651205937,0.00031201397600611505
16,2026-05-02T18:42:52,12.46,0.6212868995651971,0.7849837779978317,0.20529172615208457,0.479959955211133,0.8352088278693783,0.32971938775510207,0.00034211902345445
17,2026-05-02T18:43:05,12.32,0.5871857947158469,0.7968982657396334,0.22991687743225908,0.45471392917902265,0.8435426958362738,0.3512871057513915,0.0003718940602080485
18,2026-05-02T18:43:18,12.31,0.556540584445036,0.8081925361786679,0.2546362391205096,0.43882917886942985,0.8484891255533458,0.3575487012987013,0.00040101284459510736
19,2026-05-02T18:43:31,12.29,0.5267945855859296,0.8187200366624536,0.2795512685793795,0.4194539301119859,0.8552447552447553,0.3788265306122449,0.0004291563254259362
20,2026-05-02T18:43:43,12.25,0.501678105390614,0.8269172690034663,0.2972918131155382,0.39923815727405965,0.8619426445114519,0.39355287569573283,0.00045601613780034726
21,2026-05-02T18:43:56,12.29,0.4796088771546126,0.8348570220986825,0.3148584307444796,0.38698984891311977,0.8664079040225829,0.40335111317254174,0.00048129798182659355
22,2026-05-02T18:44:09,12.31,0.4587674989039807,0.8414049298369055,0.3288522998210002,0.36503117899263143,0.8728299223712068,0.4125115955473098,0.0005047248472316183
23,2026-05-02T18:44:22,12.32,0.44217623512544396,0.8472127871642547,0.34068657646624007,0.3608596599527631,0.8735228074677616,0.41430890538033394,0.0005260400485309302
24,2026-05-02T18:44:34,12.28,0.4262187872774433,0.8522789747144045,0.3508178188116444,0.3458214539942996,0.8795149804324116,0.42033858998144713,0.0005450100375020952
