epoch,split,length_bucket,correct,total,sequence_accuracy
57,val,0-9,6992,12659,0.552334307607236
57,val,10-19,2692,4083,0.6593191280920891
57,val,20-29,109,335,0.3253731343283582
57,val,30-39,13,107,0.12149532710280374
57,val,40-49,1,43,0.023255813953488372
57,val,50-59,0,13,0.0
57,val,60-69,0,7,0.0
57,val,70-79,0,1,0.0
58,val,0-9,7067,12659,0.5582589462042815
58,val,10-19,2692,4083,0.6593191280920891
58,val,20-29,108,335,0.32238805970149254
58,val,30-39,12,107,0.11214953271028037
58,val,40-49,2,43,0.046511627906976744
58,val,50-59,0,13,0.0
58,val,60-69,0,7,0.0
58,val,70-79,0,1,0.0
59,val,0-9,7054,12659,0.5572320088474603
59,val,10-19,2753,4083,0.67425912319373
59,val,20-29,118,335,0.3522388059701492
59,val,30-39,14,107,0.1308411214953271
59,val,40-49,1,43,0.023255813953488372
59,val,50-59,0,13,0.0
59,val,60-69,0,7,0.0
59,val,70-79,0,1,0.0
60,val,0-9,6988,12659,0.5520183268820602
60,val,10-19,2707,4083,0.6629928973793779
60,val,20-29,123,335,0.36716417910447763
60,val,30-39,18,107,0.16822429906542055
60,val,40-49,2,43,0.046511627906976744
60,val,50-59,0,13,0.0
60,val,60-69,0,7,0.0
60,val,70-79,0,1,0.0
61,val,0-9,7050,12659,0.5569160281222846
61,val,10-19,2778,4083,0.6803820720058781
61,val,20-29,127,335,0.37910447761194027
61,val,30-39,16,107,0.14953271028037382
61,val,40-49,3,43,0.06976744186046512
61,val,50-59,0,13,0.0
61,val,60-69,0,7,0.0
61,val,70-79,0,1,0.0
62,val,0-9,7132,12659,0.5633936329883877
62,val,10-19,2791,4083,0.683566005388195
62,val,20-29,133,335,0.3970149253731343
62,val,30-39,19,107,0.17757009345794392
62,val,40-49,3,43,0.06976744186046512
62,val,50-59,0,13,0.0
62,val,60-69,0,7,0.0
62,val,70-79,0,1,0.0
63,val,0-9,7148,12659,0.5646575558890907
63,val,10-19,2796,4083,0.6847905951506246
63,val,20-29,135,335,0.40298507462686567
63,val,30-39,17,107,0.1588785046728972
63,val,40-49,3,43,0.06976744186046512
63,val,50-59,0,13,0.0
63,val,60-69,0,7,0.0
63,val,70-79,0,1,0.0
64,val,0-9,7225,12659,0.5707401848487242
64,val,10-19,2814,4083,0.6891991182953711
64,val,20-29,141,335,0.4208955223880597
64,val,30-39,19,107,0.17757009345794392
64,val,40-49,5,43,0.11627906976744186
64,val,50-59,0,13,0.0
64,val,60-69,0,7,0.0
64,val,70-79,0,1,0.0
65,val,0-9,7235,12659,0.5715301366616636
65,val,10-19,2825,4083,0.6918932157727161
65,val,20-29,141,335,0.4208955223880597
65,val,30-39,25,107,0.2336448598130841
65,val,40-49,2,43,0.046511627906976744
65,val,50-59,0,13,0.0
