epoch,split,length_bucket,correct,total,sequence_accuracy
28,val,50-59,0,13,0.0
28,val,60-69,0,7,0.0
28,val,70-79,0,1,0.0
29,val,0-9,5866,12659,0.4633857334702583
29,val,10-19,1893,4083,0.4636296840558413
29,val,20-29,3,335,0.008955223880597015
29,val,30-39,0,107,0.0
29,val,40-49,0,43,0.0
29,val,50-59,0,13,0.0
29,val,60-69,0,7,0.0
29,val,70-79,0,1,0.0
30,val,0-9,5899,12659,0.4659925744529584
30,val,10-19,1972,4083,0.48297820230222877
30,val,20-29,10,335,0.029850746268656716
30,val,30-39,0,107,0.0
30,val,40-49,0,43,0.0
30,val,50-59,0,13,0.0
30,val,60-69,0,7,0.0
30,val,70-79,0,1,0.0
31,val,0-9,5965,12659,0.4712062564183585
31,val,10-19,2027,4083,0.4964486896889542
31,val,20-29,4,335,0.011940298507462687
31,val,30-39,0,107,0.0
31,val,40-49,0,43,0.0
31,val,50-59,0,13,0.0
31,val,60-69,0,7,0.0
31,val,70-79,0,1,0.0
32,val,0-9,5987,12659,0.4729441504068252
32,val,10-19,2036,4083,0.49865295126132747
32,val,20-29,11,335,0.03283582089552239
32,val,30-39,0,107,0.0
32,val,40-49,0,43,0.0
32,val,50-59,0,13,0.0
32,val,60-69,0,7,0.0
32,val,70-79,0,1,0.0
33,val,0-9,6079,12659,0.48021170708586775
33,val,10-19,2083,4083,0.5101640950281655
33,val,20-29,10,335,0.029850746268656716
33,val,30-39,0,107,0.0
33,val,40-49,0,43,0.0
33,val,50-59,0,13,0.0
33,val,60-69,0,7,0.0
33,val,70-79,0,1,0.0
34,val,0-9,6150,12659,0.48582036495773756
34,val,10-19,2106,4083,0.5157972079353417
34,val,20-29,13,335,0.03880597014925373
34,val,30-39,0,107,0.0
34,val,40-49,0,43,0.0
34,val,50-59,0,13,0.0
34,val,60-69,0,7,0.0
34,val,70-79,0,1,0.0
35,val,0-9,6219,12659,0.49127103246701953
35,val,10-19,2124,4083,0.5202057310800882
35,val,20-29,13,335,0.03880597014925373
35,val,30-39,0,107,0.0
35,val,40-49,0,43,0.0
35,val,50-59,0,13,0.0
35,val,60-69,0,7,0.0
35,val,70-79,0,1,0.0
36,val,0-9,6241,12659,0.4930089264554862
36,val,10-19,2161,4083,0.5292676953220671
36,val,20-29,16,335,0.04776119402985075
36,val,30-39,3,107,0.028037383177570093
36,val,40-49,0,43,0.0
36,val,50-59,0,13,0.0
36,val,60-69,0,7,0.0
36,val,70-79,0,1,0.0
37,val,0-9,6256,12659,0.4941938541748953
37,val,10-19,2168,4083,0.5309821209894685
37,val,20-29,18,335,0.05373134328358209
37,val,30-39,1,107,0.009345794392523364
37,val,40-49,0,43,0.0
37,val,50-59,0,13,0.0
37,val,60-69,0,7,0.0
37,val,70-79,0,1,0.0
38,val,0-9,6289,12659,0.4968006951575954
38,val,10-19,2211,4083,0.5415135929463629
38,val,20-29,20,335,0.05970149253731343
38,val,30-39,0,107,0.0
38,val,40-49,0,43,0.0
38,val,50-59,0,13,0.0
38,val,60-69,0,7,0.0
38,val,70-79,0,1,0.0
