ID	ROOT	ROOT_NTWS	ROOT_1	LEMMA	LEMMA_SEARCH	FORM	LEMMA_BW	FORM_BW	CAPHI++	ANALYSIS	GLOSS	GLOSS_MSA	EXAMPLE_USAGE	NOTES	SOURCE	ANNOTATOR
10760	ذ.ك.ر		ذ	ذِكْرَى	ذكرى	ذِكْرَيَات	*ikoraY	*ikorayaAt	Z i k r a y aa t	NOUN:FS	memories	ذِكْرَيات	ذِكْرَيات الطفولة بالمخيم كلها بالألبوم			شهد دعباس
10761	ذ.ك.ر		ذ	ذِكْرَى	ذكرى	ذِكْرَى	*ikoraY	*ikoraY	Z i k r a	NOUN:MS	memory	ذِكْرَى				شهد دعباس
10762	ذ.ك.ر		ذ	ذَكَر	ذكر	ذَكَر	*akar	*akar	D||Z a k a r	NOUN:MS	male	ذكر				شهد دعباس
10763	ذ.ك.ر		ذ	ذَكَر	ذكر	ذَكَر	*akar	*akar	dh a k a r	NOUN:MS	A_wooden_board_with_foreground_jointed_by_a_truss_with_two_screws.	هو لوح خشبي مقدمته مربوطة بالوصلة (قطعة خشب) بطوق حديدي بواسطة برغيين.		Tools used in agriculture		كرمل سرابطة
10764	ذ.ك.ر		ذ	ذَكَر	ذكر	ذَكَر	*akar	*akar	dh a K a r	NOUN:MS	a_type_of_olives		الذكر زيته عكر عند لقاطه بتفكّر#والذكر زيته عكر وعند القاطه بدكّر			شهد دعباس
10765	ذ.ك.ر		ذ	ذَكَر	ذكر	ذُكُور	*akar	*ukuwr	Z u k uu r	NOUN:P	male		أنت مش رجال؟ أنت محسوب عالذكور			شهد دعباس
10766	ذ.ك.ر		ذ	ذَاكِرَة	ذاكرة	ذَاكِرَة الجهَاز	*aAkirap	*aAkirap AljhaAz	Z aa k i r a t # 2 i l J i h aa z	NOUN:PHRASE	device_memory					شهد دعباس
10767	ذ.ك.ر		ذ	ذَاكِرَة	ذاكرة	فقدَان ذَاكِرة	*aAkirap	fqdaAn *aAkirp	f u Q d aa n # Z aa k i r a	NOUN:PHRASE	memory_loss	فقدان الذّاكِرة				شهد دعباس
10768	ذ.ك.ر		ذ	ذَاكِرَة	ذاكرة	ذَاكِرَة ضْعِيفة	*aAkirap	*aAkirap DoEiyfp	Z aa k i r a # D. 3 ii f e	NOUN:PHRASE	poor_memory	ذاكِرَة ضَعِيفة				شهد دعباس
10769	ذ.ك.ر		ذ	ذَاكِرَة	ذاكرة	ذَاكِرَة سَمكِة	*aAkirap	*aAkirap samkip	Z aa k i r a t # s a m a k e	NOUN:PHRASE	poor_memory	ذاكِرَة ضَعِيفة	اعذرني يا أخوي ذاكرتي صارت ذاكِرَة سَمكِة			شهد دعباس
10770	ذ.ك.ر		ذ	ذَاكِرَة	ذاكرة	ذَاكِرَة ذُبَّانِة	*aAkirap	*aAkirap *ub~aAnip	Z aa k i r a t # D u b b aa n e	NOUN:PHRASE	poor_memory	ذاكِرَة ضَعِيفة				شهد دعباس
10771	ذ.ك.ر		ذ	تْذَكَّر	تذكر	اِتْذَكَّر	to*ak~ar	Aito*ak~ar	2 i t Z||D a K K a r	VERB:C	remember_[auto]					شهد دعباس
10772	ذ.ك.ر		ذ	ذَكَر	ذكر	اِذْكُر	*akar	Ai*okur	2 i Z k u r	VERB:C	mention_[auto]					شهد دعباس
10773	ذ.ك.ر		ذ	ذَكَّر	ذكر	ذَكِّر	*ak~ar	*ak~ir	Z a K K i r	VERB:C	remind_[auto]		ذَكِّرني قديش كانوا طالبين بالتنكة؟			شهد دعباس
10774	ذ.ك.ر		ذ	ذَكَر	ذكر	يِذْكُر	*akar	yi*okur	y i Z k u r	VERB:I	mention	يَذْكُر	أوعَك تُذْكُر اسمي قدّامهم			شهد دعباس
10775	ذ.ك.ر		ذ	ذَكَّر	ذكر	يذَكِّر	*ak~ar	y*ak~ir	y Z a K K i r	VERB:I	remind	يُذَكِّر	حاول يذَكِّرني بحاله بس ماتذكرته للأسف			شهد دعباس
10776	ذ.ك.ر		ذ	تْذَكَّر	تذكر	يِتْذَكَّر	to*ak~ar	yito*ak~ar	y i t Z||D a K K a r	VERB:I	remember	يَتَذَكَّر	تِتْذَكَّر لما طلعنا عرام الله يوم العيد ونمنا عند هبة؟			شهد دعباس
10777	ذ.ك.ر		ذ	مُذَكِّرَة	مذكرة	مُذَكِّرَة	mu*ak~irap	mu*ak~irap	m u Z a k k i r a	NOUN:MS	reminder;memorandum					شهد دعباس
10778	ذ.ك.ر		ذ	تَذْكِير	تذكير	تَذْكِير	ta*okiyr	ta*okiyr	t a dh k ii r	NOUN:MS	reminding;reminder;mentionCALIMA]		شكراً الك عالتذكير			شهد دعباس
10779	ذ.ك.ر		ذ	تَذْكَرَة	تذكرة	تَذَاكِر	ta*okarap	ta*aAkir	t a Z aa k i r	NOUN:P	ticket;card;tickets;cards_[auto]		اشتريت تَذاكِر كثيرة للباص			شهد دعباس
10780	ذ.ك.ر		ذ	تَذْكَرَة	تذكرة	تَذْكَرَة	ta*okarap	ta*okarap	t a Z k a r a	NOUN:MS	ticket;card;tickets;cards					شهد دعباس
10781	ذ.ك.ر		ذ	ذَكَر	ذكر	ذَكَر	*akar	*akar	Z a k a r	VERB:P	mention_[auto]					شهد دعباس
10782	ذ.ك.ر		ذ	ذَكَّر	ذكر	ذَكَّر	*ak~ar	*ak~ar	Z a K K a r	VERB:P	remind_[auto]					شهد دعباس
10783	ذ.ك.ر		ذ	تْذَكَّر	تذكر	تْذَكَّر	to*ak~ar	to*ak~ar	t Z||D a K K a r	VERB:P	remember_[auto]					شهد دعباس
10784	ذ.ك.ي		ذ	ذَكِي	ذكي	ذَكِي	*akiy	*akiy	Z a K i	ADJ:MS	smart;intelligent	ذَكِي				شهد دعباس
10785	ذ.ك.ي		ذ	ذَكِي	ذكي	أَذْكِيَاء	*akiy	>a*okiyaA'	2 a Z K i y aa 2	ADJ:P	smart;intelligent_[auto]					شهد دعباس
10786	ذ.ك.ي		ذ	ذَكَاء	ذكاء	ذَكَاء	*akaA'	*akaA'	Z a K aa 2	NOUN:MS	smartness;intelligence	ذَكاء	بحس مستوى الذكاء عندهم متدن للغاية			شهد دعباس
10787	ذ.ك.ي		ذ	تْذَاكَى	تذاكى	اِتْذَاكَى	to*aAkaY	Aito*aAkaY	2 i t Z aa K a	VERB:C	try_to_outsmart_sb;pretend_to_be_smart_[auto]					شهد دعباس
10788	ذ.ك.ي		ذ	تْذَاكَى	تذاكى	يِتْذَاكَى	to*aAkaY	yito*aAkaY	y i t Z aa K a	VERB:I	try_to_outsmart_sb;pretend_to_be_smart		إِذا بتحاولي تِتْذاكَي علي رح تشوفي شو رح تكون ردة فعلي			شهد دعباس
10789	ذ.ك.ي		ذ	تْذَاكَى	تذاكى	تْذَاكَى	to*aAkaY	to*aAkaY	t Z aa K a	VERB:P	try_to_outsmart_sb;pretend_to_be_smart_[auto]					شهد دعباس
10790	ذ.ل.ل		ذ	ذَلِيل	ذليل	ذَلِيل	*aliyl	*aliyl	Z a l ii l	ADJ:MS	humiliated		رجع زي الذَلِيل عالدار			شهد دعباس
10791	ذ.ل.ل		ذ	مَذْلُول	مذلول	مَذْلُول	ma*oluwl	ma*oluwl	m a Z l uu l	ADJ:MS	humiliated		شوف كيف ياحرام كان مثل المَذْلول			شهد دعباس
10792	ذ.ل.ل		ذ	ذَالِل	ذالل	ذَالِل	*aAlil	*aAlil	Z aa l i l	NOUN_ACT:MS	holding_sth_over_sb's_head		ذالِلني عال100 شيكل اللي دَيَّني اياها			شهد دعباس
10793	ذ.ل.ل		ذ	ذُلّ	ذل	ذُلّ	*ul~	*ul~	Z u l l	NOUN:MS	humiliation		ماشفتش ذُل اكثر من هيك			شهد دعباس
10794	ذ.ل.ل		ذ	ذَلُول	ذلول	ذَلُول	*aluwl	*aluwl	dh a l uu l	NOUN:MS	newborn_baby_camel_whose_age_is_barely_a_few_days				الخليل > الظاهرية > الرماضين	شهد دعباس
10795	ذ.ل.ل		ذ	ذَلّ	ذل	ذل أهلي	*al~	*l >hly	Z a l l # 2 a h l i	VERB:PHRASE	It_is_an_idiomatic_expression_that_means_to_hold_sth_over_sb's_head	يتمنن على شخص	ذَل أَهْلِي عالشغل المعفن اللي جابلي اياه			شهد دعباس
10796	ذ.ل.ل		ذ	ذَلِيل	ذليل	لَا ترَافق الذَّلِيل بتذل مثله، ولَا تنزل دَار التهَايم تتهمي	*aliyl	laA traAfq Al*~aliyl bt*l mvlh، wlaA tnzl daAr AlthaAym tthmy	l aa # t r aa f i Q # 2 i Z Z a l ii l # b i t Z i l l # m i T l o # w a l aa #  t i n z i l # d aa r # 2 i t t a h aa y i m # t u t h i m i	ADJ:PHRASE	birds_of_a_feather_flock_together					شهد دعباس
10797	ذ.ل.ل		ذ	تْذَلَّل	تذلل	اِتْذَلَّل	to*al~al	Aito*al~al	2 i t Z a l l a l	VERB:C	be_humiliated_[auto]					شهد دعباس
10798	ذ.ل.ل		ذ	ذَلّ	ذل	ذِلّ	*al~	*il~	Z i l l	VERB:C	humiliate_[auto]					شهد دعباس
10799	ذ.ل.ل		ذ	تْذَلَّل	تذلل	يِتْذَلَّل	to*al~al	yito*al~al	y i t Z a l l a l	VERB:I	be_humiliated	يَتَذَلَّل	أوعك تِتذَلَّل لحدا. كرامتك بالدنيا كلها.			شهد دعباس
10800	ذ.ل.ل		ذ	ذَلّ	ذل	يذِلّ	*al~	y*il~	y Z i l l	VERB:I	humiliate	يَذِل#يُهِين	كيف بِتْذِل بنت الناس اللي صبرت عليك كل هالوقت			شهد دعباس
10801	ذ.ل.ل		ذ	تْذَلَّل	تذلل	تْذَلَّل	to*al~al	to*al~al	t Z a l l a l	VERB:P	be_humiliated_[auto]					شهد دعباس
10802	ذ.ل.ل		ذ	ذَلّ	ذل	ذَلّ	*al~	*al~	Z a l l	VERB:P	humiliate_[auto]					شهد دعباس
10803	ذ.م.م		ذ	مَذْمُوم	مذموم	مَذْمُوم	ma*omuwm	ma*omuwm	m a Z m uu m	ADJ:MS	vilified;disparaged		هيك تصرفات بتكون مَذْمُومة بمجتمعنا			شهد دعباس
10804	ذ.م.م		ذ	ذِمِّة	ذمة	ذِمِّة	*im~ip	*im~ip	Z i m m e	NOUN:FS	concience	ضَمِير#ذِمَّة	هذا واحد ماعنده لا ذِمِّة ولا ضمير			شهد دعباس
10805	ذ.م.م		ذ	ذِمِّة	ذمة	ذِمَم	*im~ip	*imam	Z i m a m	NOUN:P	concience_[auto]					شهد دعباس
10806	ذ.م.م		ذ	ذَمّ	ذم	لَا تذم ولَا تشكر الَا بعد سنة وست اشهر	*am~	laA t*m wlaA t$kr AlaA bEd snp wst A$hr	l aa # t Z i m m # w a l a # t u sh k u r # 2 i l l a # b a 3 i d # s a n e # w u s i t t # 2 a sh h u r	VERB:PHRASE	do_not_judge_people_until_you_know_them_well_for_a_long_time					شهد دعباس
10807	ذ.م.م		ذ	ذِمِّة	ذمة	أَهل الذِّمِّة	*im~ip	>ahl Al*~im~ip	2 a h l # 2 i Z Z i m m e	NOUN:PHRASE	non-Muslims_(Christians_and_Jews)					شهد دعباس
10808	ذ.م.م		ذ	ذِمِّة	ذمة	بَالذمِّة	*im~ip	baAl*m~ip	b i Z Z i m m e	NOUN:PHRASE	say_the_truth		بالذمِّة مين حكالك تعمل هيك؟			شهد دعباس
10809	ذ.م.م		ذ	ذِمِّة	ذمة	بذمتك	*im~ip	b*mtk	b Z i m t a k	NOUN:PHRASE	say_the_truth					شهد دعباس
10810	ذ.م.م		ذ	ذِمِّة	ذمة	عَامل السبعة وذمتهَا	*im~ip	EaAml AlsbEp w*mthaA	3 aa m i l # 2 i s s a b 3 a # w u Z i m m i t h a	NOUN:PHRASE	It_is_an_idiomatic_expression_that_describes_sb_who_is_either_licentious,_or_his_life_is_full_of_reckless_behaviours	يقوم بأعمال غير مقبولة بالعرف والمجتمع				شهد دعباس
10811	ذ.م.م		ذ	ذِمِّة	ذمة	مَا أوسع ذمتك	*im~ip	maA >wsE *mtk	m aa # 2 a w s a 3 # Z i m t o	NOUN:PHRASE	It_is_an_idiomatic_expression_that_describes_sb_who_always_expects_the_worst_from_the_people,_or_has_low_expectations_of_them	يغلب عليه سوء الظن بالناس	يازم ما أوسَع ذِمِّتِك شو بدك فيهم شو يعلوا وشو يلبسوا؟			شهد دعباس
10812	ذ.م.م		ذ	ذِمِّة	ذمة	أَحط بذمتي	*im~ip	>aHT b*mty	2 a 7 o t. # b Z i m t i	NOUN:PHRASE	It_is_an_idiomatic_expression_that_means_to_expect_the_worst_from_the_people,_or_to_have_low_expectations_of_them	يتبلى على شخص	بديش أحُط بذِمْتِي بس أنا شفت ابنهم بالسيارة مع وحدة بالسيارة بتصهونوا وماسك إِيدها			شهد دعباس
10813	ذ.م.م		ذ	اِنْذَمّ	انذم	اِنْذَمّ	Aino*am~	Aino*am~	2 i n Z a m m	VERB:C	be_denounced;be_disparaged;be_vilified					شهد دعباس
10814	ذ.م.م		ذ	اِنْذَمّ	انذم	يِنْذَمّ	Aino*am~	yino*am~	y i n Z a m m	VERB:I	be_denounced;be_disparaged;be_vilified		الزلمة ما بيِنْذَمّش عشان فلوسه قليلة أو عشان وضع أهله عباب الله.			شهد دعباس
10815	ذ.م.م		ذ	اِنْذَمّ	انذم	اِنْذَمّ	Aino*am~	Aino*am~	2 i n Z a m m	VERB:P	be_denounced;be_disparaged;be_vilified					شهد دعباس
10816	ذ.م.م		ذ	ذَمّ	ذم	ذِمّ	*am~	*im~	Z i m m	VERB:C	denounce;disparage;vilify_[auto]					شهد دعباس
10817	ذ.م.م		ذ	ذَمّ	ذم	يذِمّ	*am~	y*im~	y Z i m m	VERB:I	denounce;disparage;vilify		لما سألت شيخ المسجد عنه صار يذِم فيه وبأهله ونصحني ما أعطيهم بنتي			شهد دعباس
10818	ذ.م.م		ذ	ذَمّ	ذم	ذَمّ	*am~	*am~	Z a m m	VERB:P	denounce;disparage;vilify_[auto]					شهد دعباس
10819	ذ.ن.ب		ذ	مُذْنِب	مذنب	مُذْنِب	mu*onib	mu*onib	m u Z n i b	ADJ:MS	guilty;sinner	مُذْنِباً	حتى عمستوى الشخص المُذْنِب وكيف بيتعاملوا معه. والله بينفروه من الإِسلام.			شهد دعباس
10820	ذ.ن.ب		ذ	ذَنْب	ذنب	ذَنْب	*anob	*anob	Z a n b	NOUN:MS	sin	ذَنْب				شهد دعباس
10821	ذ.ن.ب		ذ	ذَنَب	ذنب	ذَنَب	*anab	*anab	D a n a b	NOUN:MS	tail;subservient;yes-sir	ذَيْل#تابِع	شوف كيف ذَنَبُه مقطوع#ناصر هذا ذَنَب لمفيد			شهد دعباس
10822	ذ.ن.ب		ذ	ذَنْب	ذنب	ذْنُوب	*anob	*onuwb	Z u n uu b	NOUN:P	sin_[auto]		كلنا عنا ذْنُوب وعيوب ما حدا فينا معصوم			شهد دعباس
10823	ذ.ن.ب		ذ	ذَنَب	ذنب	أَذْنَاب	*anab	>a*onaAb	2 a D n aa b	NOUN:P	tail;subservient;yes-sir_[auto]					شهد دعباس
10824	ذ.ن.ب		ذ	ذَنَب	ذنب	ذْنَاب	*anab	*onaAb	D n aa b	NOUN:P	tail;subservient;yes-sir_[auto]					شهد دعباس
10825	ذ.ن.ب		ذ	ذَنَب	ذنب	دعس عذنبه	*anab	dEs E*nbh	d a 3 a s # 3 a D a n a b o	NOUN:PHRASE	provoke_sb	يستفز	مين دَعَس عذَنَبُه تمنٌّه صار يفنعِص			شهد دعباس
10826	ذ.ن.ب		ذ	أَذْنَب	أذنب	اِذْنِب	>a*onab	Ai*onib	2 i Z n i b	VERB:C	sin_[auto]		يا عمي اِذْنِب وتوب. ربنا غفور رحيم، بس تضلكش تِذْنِب بدون توبة			شهد دعباس
10827	ذ.ن.ب		ذ	اِسْتَذْنَب	استذنب	اِسْتَذْنِب	Aisota*onab	Aisota*onib	2 i s t a Z n i b	VERB:C	consider_sth_as_a_sin_[auto]					شهد دعباس
10828	ذ.ن.ب		ذ	أَذْنَب	أذنب	يِذْنِب	>a*onab	yi*onib	y i Z n i b	VERB:I	sin	يُذْنِب				شهد دعباس
10829	ذ.ن.ب		ذ	اِسْتَذْنَب	استذنب	يِسْتَذْنِب	Aisota*onab	yisota*onib	y i s t a Z n i b	VERB:I	consider_sth_as_a_sin					شهد دعباس
10830	ذ.ن.ب		ذ	أَذْنَب	أذنب	أَذْنَب	>a*onab	>a*onab	2 a Z n a b	VERB:P	sin_[auto]					شهد دعباس
10831	ذ.ن.ب		ذ	اِسْتَذْنَب	استذنب	اِسْتَذْنَب	Aisota*onab	Aisota*onab	2 i s t a Z n a b	VERB:P	consider_sth_as_a_sin_[auto]		أنا بصراحة اِسْتَذْنَبِت حالي عشان هيك مش رح أعيدها			شهد دعباس
10832	ذ.ه.ب		ذ	ذُهْبَان	ذهبان	ذُهْبَان	*uhobaAn	*uhobaAn	dh u h b aa n	ADJ:MS	gold;gold_accessories					شهد دعباس
10833	ذ.ه.ب		ذ	مْذَهَّب	مذهب	مْذَهَّب	mo*ah~ab	mo*ah~ab	m D a h h a b	NOUN_PASS	painted_with_gold	مطلي بالذهب	عندي كاسات مْذَهَّبِة غاليا بقدم للضيوف منهن			شهد دعباس
10834	ذ.ه.ب		ذ	ذَهَاب	ذهاب	ذَهَاب	*ahaAb	*ahaAb	Z a h aa b	NOUN:MS	going;one-way_trip		بَدي أحجز تذكرة طيران ذَهاب بس			شهد دعباس
10835	ذ.ه.ب		ذ	ذَهَب	ذهب	ذَهَب	*ahab	*ahab	D a h a b	NOUN:MS	gold;gold_accessories	ذَهَب	بَلفني الحقير وسرق الذهبات			شهد دعباس
10836	ذ.ه.ب		ذ	ذَهَاب	ذهاب	ذَهَاب وإِيَاب	*ahaAb	*ahaAb w<iyaAb	Z a h aa b # w u 2 i y aa b	NOUN:PHRASE	roundtrip	ذَهاب وإِياب	الرحلة بتكلف 200 شيكل ذَهاب وإِياب مع وجبة فطور خفيفة			شهد دعباس
10837	ذ.ه.ب		ذ	ذَهَب	ذهب	كَلَامُه بْيِتْثَقَّل بَالذَّهَب	*ahab	kalaAmuh boyitovaq~al baAl*~ahab	k a l aa m o # b y i t th a q q a l # b i dh dh a h a b	NOUN:PHRASE	very_wise_and_well-thought-out					شهد دعباس
10838	ذ.ه.ب		ذ	ذَهَب	ذهب	عَظْمُه مِن ذَهَب	*ahab	EaZomuh min *ahab	3 a d. m o # m i n # D a h a b	NOUN:PHRASE	very_rich	غني جداً	أبو النافع هاذ عَظْمُه من ذَهَب			شهد دعباس
10839	ذ.ه.ب		ذ	ذَهَب	ذهب	اِذْهَب	*ahab	Ai*ohab	2 i Z h a b	VERB:C	go_[auto]					شهد دعباس
10840	ذ.ه.ب		ذ	ذَهَّب	ذهب	ذَهِّب	*ah~ab	*ah~ib	D a h h i b	VERB:C	paint_with_gold_[auto]					شهد دعباس
10841	ذ.ه.ب		ذ	ذَهَب	ذهب	يِذْهَب	*ahab	yi*ohab	y i Z h a b	VERB:I	go	يَذْهَب				شهد دعباس
10842	ذ.ه.ب		ذ	ذَهَّب	ذهب	يذَهِّب	*ah~ab	y*ah~ib	y D a h h i b	VERB:I	paint_with_gold	يطلي بالذهب	رحت للخيّاطَة خليتها تذَهِّبلي الأكمام			شهد دعباس
10843	ذ.ه.ب		ذ	ذَهَب	ذهب	ذَهَب	*ahab	*ahab	Z a h a b	VERB:P	go_[auto]		إِيش أجواء ذَهَب ولن يعُد هاي			شهد دعباس
10844	ذ.ه.ب		ذ	ذَهَّب	ذهب	ذَهَّب	*ah~ab	*ah~ab	D a h h a b	VERB:P	paint_with_gold_[auto]					شهد دعباس
10845	ذ.و.ب		ذ	ذَايِب	ذايب	ذَايِب	*aAyib	*aAyib	D aa y i b	ADJ:MS	melting_down		الجاج ذايِب شو رأيك أتبله وأحضره هلا			شهد دعباس
10846	ذ.و.ب		ذ	ذَايِب	ذايب	ذَايِب	*aAyib	*aAyib	D aa y i b	ADJ:MS	very_shy		بس العروس مسكت إِيده كان ذايِب عالأخير			شهد دعباس
10847	ذ.و.ب		ذ	ذَاب	ذاب	ذبت بأوَاعيي	*aAb	*bt b>waAEyy	D u b i t # b 2 a w aa 3 i y y i	VERB:PHRASE	It_is_an_idiomatic_expression_that_means_that_sb_was_ashamed_of_sth_/_embarrassed_about_sth	تعبير مجازي يُقْصَد به أنّ شيئما ما يدعو للخجل والشعور بالعار	لمّا شفتهم داخلين عليي بالكياس اللي أنا جبتلهم اياها ذُبْت بأواعِيي			شهد دعباس
10848	ذ.و.ب		ذ	ذَاب	ذاب	بكرة بيذوب الثلج وببَان المرج	*aAb	bkrp by*wb Alvlj wbbaAn Almrj	b u k r a # b i D. uu b # 2 i T T a l J # w u b i b aa n # 2 i l m a r J	VERB:PHRASE	it_is_an_idiomatice_expression_that_means_"truth_will_appear_sooner_of_later	ستظهر الحقيقة عاجلا او اجلا	يا سيدي الايام بينا بكرة بيذوب الثلج وببان المرج		الضفة الغربية	عمر سعدي
10849	ذ.و.ب		ذ	ذَاب	ذاب	ذُوب	*aAb	*uwb	D uu b	VERB:C	melt;be_shy_[auto]					شهد دعباس
10850	ذ.و.ب		ذ	ذَوَّب	ذوب	ذَوِّب	*aw~ab	*aw~ib	D a w w i b	VERB:C	melt_(causative);make_sb_feel_shy_[auto]					شهد دعباس
10851	ذ.و.ب		ذ	ذَاب	ذاب	يذُوب	*aAb	y*uwb	y D uu b	VERB:I	melt;be_shy	يذوب#يَخْجَل				شهد دعباس
10852	ذ.و.ب		ذ	ذَوَّب	ذوب	يذَوِّب	*aw~ab	y*aw~ib	y D a w w i b	VERB:I	melt_(causative);make_sb_feel_shy	يُذَوِّب#يُخَجِّل	لازم يذوب نص مكعبات الثلج عشان بقدر يعبي جديد			شهد دعباس
10853	ذ.و.ب		ذ	ذَاب	ذاب	ذَاب	*aAb	*aAb	D aa b	VERB:P	melt;be_shy_[auto]		حطيت القنينة بالشمس ساعة ذابت كلها			شهد دعباس
10854	ذ.و.ب		ذ	ذَوَّب	ذوب	ذَوَّب	*aw~ab	*aw~ab	D a w w a b	VERB:P	melt_(causative);make_sb_feel_shy_[auto]					شهد دعباس
10855	ذ.و.ق		ذ	ذَايِق	ذايق	ذَايِق	*aAyiq	*aAyiq	D aa y i Q	NOUN_ACT:MS	tasting;experiencing;trying		صارلي شهرين مش ذايِق اللحمة			شهد دعباس
10856	ذ.و.ق		ذ	ذَوق	ذوق	ذَوق	*awq	*awq	Z oo Q	NOUN:MS	courtesy		شكراً الك كلك ذَوق.	Non-Count		شهد دعباس
10857	ذ.و.ق		ذ	ذَوق	ذوق	ذَوق	*awq	*awq	Z oo Q	NOUN:MS	taste		ذَوقَك بالنسوان بيخزي!			شهد دعباس
10858	ذ.و.ق		ذ	ذَوق	ذوق	أَذْوَاق	*awq	>a*owaAq	2 a Z w aa Q	NOUN:P	taste		الناس أذْْواق وأكيد إِلا مايكون فيه ناس بتحب توكل من عندهم			شهد دعباس
10859	ذ.و.ق		ذ	تَذَوُّق	تذوق	تَذَوُّق	ta*aw~uq	ta*aw~uq	t a D a w w u Q	NOUN:MS	tasting		حتى حاسة التَّذوُّق عندي انعطبت من وراه			شهد دعباس
10860	ذ.و.ق		ذ	مِذْوِق	مذوق	مِذْوِق	mi*owiq	mi*owiq	m i Z w i Q	ADJ:MS	courteous;gentle		يا الله شو انها مِذْوِقة هالبنت			شهد دعباس
10861	ذ.و.ق		ذ	ذَوَّاق	ذواق	ذَوَّاق	*aw~aAq	*aw~aAq	D a w w a Q	ADJ:MS	have_a_taste;epicurean;gourmet					شهد دعباس
10862	ذ.و.ق		ذ	ذَوِّيق	ذويق	ذَوِّيق	*aw~iyq	*aw~iyq	D a w w ii Q	ADJ:MS	have_a_taste;epicurean		بحسه زلمة ذَوِّيق بالأكل			شهد دعباس
10863	ذ.و.ق		ذ	اِنْذّاق	انذاق	اِنْذّاق	Aino*~Aq	Aino*~Aq	2 i n D aa Q	VERB:C	be_tasted;be_experienced					شهد دعباس
10864	ذ.و.ق		ذ	اِنْذّاق	انذاق	يِنْذّاق	Aino*~Aq	yino*~Aq	y i n D aa Q	VERB:I	be_tasted;be_experienced		يختي أكلهم ما بيِنْذّاق بالمرة			شهد دعباس
10865	ذ.و.ق		ذ	اِنْذّاق	انذاق	اِنْذّاق	Aino*~Aq	Aino*~Aq	2 i n D aa Q	VERB:P	be_tasted;be_experienced					شهد دعباس
10866	ذ.و.ق		ذ	تْذَوَّق	تذوق	اِتْذَوَّق	to*aw~aq	Aito*aw~aq	2 i t D a w w a Q	VERB:C	taste_[auto]					شهد دعباس
10867	ذ.و.ق		ذ	تْذَوَّق	تذوق	يِتْذَوَّق	to*aw~aq	yito*aw~aq	y i t D a w w a Q	VERB:I	taste		بدي أتْذَوَّق زي الشيفات اللي عنجد			شهد دعباس
10868	ذ.و.ق		ذ	تْذَوَّق	تذوق	تْذَوَّق	to*aw~aq	to*aw~aq	t D a w w a Q	VERB:P	taste_[auto]					شهد دعباس
10869	ذ.و.ق		ذ	ذَوَّق	ذوق	ذَوِّق	*aw~aq	*aw~iq	D a w w i Q	VERB:C	make_sb_taste;make_sb_try;make_sb_experience_(causative)_[auto]					شهد دعباس
10870	ذ.و.ق		ذ	ذَوَّق	ذوق	يذَوِّق	*aw~aq	y*aw~iq	y D a w w i Q	VERB:I	make_sb_taste;make_sb_try;make_sb_experience_(causative)		الله يذَوقك حرقة القلب اللي ذَوِّقتني اياها يا عصام			شهد دعباس
10871	ذ.و.ق		ذ	ذَوَّق	ذوق	ذَوَّق	*aw~aq	*aw~aq	D a w w a Q	VERB:P	make_sb_taste;make_sb_try;make_sb_experience_(causative)_[auto]					شهد دعباس
10872	ذ.و.ق		ذ	ذَاق	ذاق	ذُوق	*aAq	*uwq	D uu Q	VERB:C	taste;try;experience_[auto]		ذُوق واحكيلي شو رأيك			شهد دعباس
10873	ذ.و.ق		ذ	ذَاق	ذاق	يذُوق	*aAq	y*uwq	y D uu Q	VERB:I	taste;try;experience					شهد دعباس
10874	ذ.و.ق		ذ	ذَاق	ذاق	ذَاق	*aAq	*aAq	D aa Q	VERB:P	taste;try;experience_[auto]		بحياتي ماذقت وجع وكسرة خاطر أكبر من هاي			شهد دعباس
10875	ذ.ي.ع		ذ	مُذِيع	مذيع	مُذِيع	mu*iyE	mu*iyE	m u Z ii 3	NOUN:MS	TV_host					شهد دعباس
10876	ذ.ي.ع		ذ	إِذَاعَة	إذاعة	إِذَاعَة	<i*aAEap	<i*aAEap	2 i Z aa 3 a	NOUN:FS	broadcast					شهد دعباس
10877	ذ.ي.ع		ذ	إِذَاعَة	إذاعة	الإِذَاعَة المدرسية	<i*aAEap	Al<i*aAEap Almdrsyp	2 i l 2 i Z aa 3 a # 2 i l m a d r a s i y y e	NOUN:PHRASE	the_time_before_the_beginning_of_the_classes_when_the_students_recite_Quraan_and_read_some_interesting_articles_to_all_the_students_in_the_morning					شهد دعباس
10878	ذ.ي.ع		ذ	أَذَاع	أذاع	ذِيِع	>a*aAE	*iyiE	Z ii 3	VERB:C	broadcast_[auto]					شهد دعباس
10879	ذ.ي.ع		ذ	أَذَاع	أذاع	يذِيع	>a*aAE	y*iyE	y Z ii 3	VERB:I	broadcast	يُذِيِع				شهد دعباس
10880	ذ.ي.ع		ذ	أَذَاع	أذاع	أَذَاع	>a*aAE	>a*aAE	2 a Z aa 3	VERB:P	broadcast_[auto]		عفكرة قناة الفجر أَذاعت الخبر من الصبح			شهد دعباس
10881	ذ.ي.ل		ذ	ذَيل	ذيل	ذَيل	*ayl	*ayl	D ee l	NOUN:MS	tail	ذَيْل				شهد دعباس
