epoch,finished_at,seconds,train_loss,train_token_accuracy,train_sequence_accuracy,val_loss,val_token_accuracy,val_sequence_accuracy,learning_rate
1,2026-05-02T19:27:37,8.78,3.5227704290415227,0.12105584173244038,3.6234509747083125e-05,3.1970397634850345,0.20787454120787455,0.0,2.5578180743997194e-05
2,2026-05-02T19:27:46,7.28,3.102821271754549,0.21274450006944737,0.0,2.964323133774291,0.22913389580056245,0.0,3.0295426764456084e-05
3,2026-05-02T19:27:55,7.44,2.8807212510297013,0.2620642176903613,0.0001449380389883325,2.663599811976992,0.3095953095953096,0.0,3.8100038986138974e-05
4,2026-05-02T19:28:03,7.23,2.525474216019824,0.3523880840373687,0.0006522211754474962,2.2244598213406546,0.41365174698508034,0.0017396346767178893,4.89064820706946e-05
5,2026-05-02T19:28:12,7.38,2.134938978337833,0.425706400632877,0.005000362345097471,1.8457667273580474,0.46827780161113497,0.014496955639315743,6.259632184876774e-05
6,2026-05-02T19:28:20,7.4,1.809137909727107,0.47160809937618137,0.01822595840278281,1.5445122362870813,0.5238095238095238,0.03363293708321253,7.901952330975994e-05
7,2026-05-02T19:28:29,7.32,1.5673673698458719,0.5175158370220964,0.035219943474164794,1.3317629964081517,0.5735259068592402,0.061467091910698754,9.799609492380638e-05
8,2026-05-02T19:28:38,7.49,1.398459675318622,0.5556213124950934,0.05254003913327053,1.190043481489889,0.6104676104676104,0.10060887213685125,0.00011931806127487692
9,2026-05-02T19:28:47,7.51,1.2730242741239466,0.5872470454668978,0.07663598811508081,1.080175993300932,0.6448353115019781,0.13337199188170484,0.00014275174238575323
10,2026-05-02T19:28:55,7.29,1.1890956993227366,0.611088632973616,0.09667367200521777,1.008135311244083,0.6641879975213308,0.1678747463032763,0.00016804031475442044
11,2026-05-02T19:29:04,7.45,1.1247864217441657,0.6292294964159113,0.11558808609319515,0.9634757815152186,0.6812050145383479,0.2029573789504204,0.00019490662603396583
12,2026-05-02T19:29:12,7.57,1.0736540969100739,0.6437772128048891,0.1271106601927676,0.9152235129727462,0.6960293626960293,0.2122354305595825,0.0002230562325082534
13,2026-05-02T19:29:21,7.58,1.0314633232080803,0.6553719058172749,0.14113341546488875,0.8900218377708167,0.7005577005577005,0.2342708031313424,0.00025218062607388833
14,2026-05-02T19:29:30,7.51,0.9972220138438382,0.6640377310635112,0.15022827741140662,0.8449983028229304,0.7191953858620526,0.25833574949260657,0.00028196061536208
15,2026-05-02T19:29:38,7.49,0.964760484717852,0.6738992590266497,0.1633451699398507,0.8483468903969739,0.714381047714381,0.24064946361264133,0.00031206982394469594
16,2026-05-02T19:29:47,7.37,0.9359444210624397,0.6832293635600538,0.17620842090006522,0.7876909777328178,0.7395490728824062,0.3044360684256306,0.0003421782672856105
17,2026-05-02T19:29:56,7.52,0.9108915046838914,0.6911403259799629,0.18983259656496848,0.792551169169177,0.7294913961580628,0.2847202087561612,0.00037195596923543235
18,2026-05-02T19:30:05,7.63,0.8891336581118315,0.6984775926518633,0.19997825929415175,0.7513553216940477,0.7495590828924162,0.3198028414033053,0.00040107657843431644
19,2026-05-02T19:30:14,7.55,0.8598303678158938,0.7075963355938959,0.21490687730995,0.731770506887169,0.7555174221840889,0.3360394317193389,0.00042922094498857406
20,2026-05-02T19:30:23,7.65,0.8386108895453267,0.7144565289595575,0.22545111964635117,0.7155328781539193,0.7635254301920968,0.35053638735865467,0.0004560806182221782
21,2026-05-02T19:30:32,7.38,0.8163611275342044,0.7217817178262366,0.24121313138633235,0.7011692184864142,0.7669097669097669,0.3650333429979704,0.0004813612271692443
22,2026-05-02T19:30:40,7.45,0.7951662141514123,0.7285150942370753,0.2514312631350098,0.659837962469738,0.7840221173554507,0.4195418962017976,0.0005047857067586838
23,2026-05-02T19:30:49,7.41,0.7734022397368054,0.7359067110324712,0.2679179650699326,0.6448046968017226,0.7895514562181228,0.4273702522470281,0.0005260973343333702
24,2026-05-02T19:30:57,7.24,0.7509326058553142,0.7438659846732651,0.28520182621929124,0.6236662818175309,0.7928404595071262,0.44737605102928385,0.0005450625432248202
25,2026-05-02T19:31:05,7.27,0.7296675483131839,0.7515353909887496,0.30150735560547864,0.6019591914143688,0.7995137995137995,0.4467961728037112,0.0005614734825477672
26,2026-05-02T19:31:14,7.33,0.6950568064045622,0.7635890405995422,0.32089281832016814,0.5922591937208228,0.8060918060918061,0.4697013627138301,0.0005751502951603335
27,2026-05-02T19:31:22,7.4,0.6725966191987658,0.7712222134993629,0.3421624755417059,0.5596533792109466,0.8152438152438153,0.4986952739924616,0.0005859430888242942
28,2026-05-02T19:31:31,7.24,0.650274406169852,0.7783843519955553,0.3602434959055004,0.5627896368071714,0.8113828113828114,0.48651783125543635,0.000593733578962327
29,2026-05-02T19:31:40,7.4,0.6231253572407605,0.7890128205902424,0.3856076527284586,0.5424485749520805,0.8177701511034844,0.5152218034212815,0.000598436385008306
30,2026-05-02T19:31:48,7.25,0.6046230256919931,0.7955529521175412,0.4021668236828756,0.5053704993997233,0.831974831974832,0.544215714699913,0.0005999999935243154
31,2026-05-02T19:31:56,7.16,0.5816641134631221,0.8029022965946628,0.4151750126820784,0.4819638578670371,0.8427475094141761,0.5761090171064076,0.0005996951181448714
32,2026-05-02T19:32:05,7.45,0.5622418783983267,0.80972021764205,0.43379955069207915,0.4794858592107393,0.8424138424138424,0.5766888953319803,0.0005987866990983382
33,2026-05-02T19:32:14,7.24,0.5391416686626118,0.8170695621191717,0.4526052612508153,0.4836165596818417,0.8432241765575099,0.5734995650913308,0.0005972765658197807
34,2026-05-02T19:32:22,7.39,0.5254386639930574,0.8211035490630643,0.46575838828900645,0.46161895905989325,0.8512798512798513,0.5952449985503044,0.0005951677595166494
35,2026-05-02T19:32:31,7.46,0.5068652388292102,0.8286159439106725,0.48249873179215885,0.461379883366503,0.8493731827065161,0.5824876775877066,0.0005924645270441936
36,2026-05-02T19:32:39,7.16,0.4905974809200382,0.8338094001558037,0.4954344517718675,0.4469995328315624,0.8549501882835217,0.6082922586256886,0.0005891723123528592
37,2026-05-02T19:32:48,7.37,0.4742604078504052,0.8395040853176161,0.5132980650771795,0.4425290012016976,0.8540921874255207,0.5952449985503044,0.0005852977455248981
38,2026-05-02T19:32:56,7.41,0.4618989875340693,0.8435561889693405,0.5215232987897673,0.42991530007655526,0.8593831927165261,0.6210495795882864,0.0005808486294222642
39,2026-05-02T19:33:05,7.23,0.44448526586606585,0.8488945788771265,0.5335893905355461,0.4247301071079621,0.8602888602888603,0.6138011017686286,0.0005758339239726883
40,2026-05-02T19:33:13,7.34,0.43162158425189906,0.8540638795118151,0.548844119139068,0.41042133325349445,0.8665331998665332,0.6372861699043201,0.0005702637281255756
41,2026-05-02T19:33:22,7.35,0.41683999741142863,0.8583515003653536,0.562794405391695,0.41932184086683977,0.8637685304351971,0.6306175703102348,0.0005641492595140657
42,2026-05-02T19:33:30,7.29,0.40739932200847656,0.8626028878032284,0.572360315964925,0.39509329987359837,0.8709185375852042,0.6488837344157727,0.0005575028318642129
43,2026-05-02T19:33:39,7.36,0.39365823249278686,0.8664013575453069,0.5803681426190304,0.3898962164446239,0.8727775394442061,0.6512032473180632,0.0005503378301967796
44,2026-05-02T19:33:48,7.39,0.384148614624609,0.8690705524991998,0.5905500398579607,0.38259925219617064,0.8760665427332094,0.6639605682806611,0.000542668683871587
45,2026-05-02T19:33:56,7.31,0.37303195946298706,0.8729716835856588,0.6000797159214436,0.37502843335038616,0.8793078793078793,0.6674398376340969,0.0005345108375287039
46,2026-05-02T19:34:05,7.33,0.36331609625607303,0.8767641144251267,0.6115298210015219,0.3634026930815067,0.8843128843128844,0.6709191069875327,0.0005258807199849971
