k,total,hits,top_k_accuracy,length_type,length_bucket,evaluation_source_col
1,1000,506,0.506,overall,all,levanti_harakat_prediction
3,1000,781,0.781,overall,all,levanti_harakat_prediction
5,1000,840,0.84,overall,all,levanti_harakat_prediction
10,1000,886,0.886,overall,all,levanti_harakat_prediction
