epoch,finished_at,seconds,train_loss,train_token_accuracy,train_sequence_accuracy,val_loss,val_token_accuracy,val_sequence_accuracy,learning_rate
1,2026-05-03T20:17:07,8.6,3.2317379639043606,0.11122039276636392,0.0,2.8219290825307692,0.1826248518435468,0.0,2.5578180743997194e-05
2,2026-05-03T20:17:16,7.51,2.694839391731032,0.25185778813929766,0.0,2.498532589208149,0.30781305058141395,0.0,3.0295426764456084e-05
3,2026-05-03T20:17:25,7.14,2.4268347073611087,0.3374050868586786,3.6234509747083125e-05,2.258938672820041,0.3890188038568729,0.0,3.8100038986138974e-05
4,2026-05-03T20:17:33,7.17,2.183375938474029,0.4071591626596726,0.0,1.989739113104207,0.4405932664894128,0.0,4.89064820706946e-05
5,2026-05-03T20:17:41,7.12,1.9315820545006848,0.4482814447844318,0.0003261105877237481,1.7060680406550395,0.48457571195182114,0.0005798782255726297,6.259632184876774e-05
6,2026-05-03T20:17:50,7.13,1.700746614686999,0.48122784010879593,0.0017030219581129068,1.461720139543377,0.534388314059647,0.002609452015076834,7.901952330975994e-05
7,2026-05-03T20:17:58,6.88,1.5085298787755836,0.5163355837259378,0.004239437640408726,1.2834945374182507,0.5769933049300061,0.01304726007538417,9.799609492380638e-05
8,2026-05-03T20:18:07,7.04,1.3660471345873173,0.5500469506370715,0.010508007826654106,1.1548541707568216,0.6103725534164077,0.02319512902290519,0.00011931806127487692
9,2026-05-03T20:18:15,7.06,1.251560681748765,0.5778530606958409,0.015363432132763243,1.0546141732536014,0.6359035141109011,0.044360684256306175,0.00014275174238575323
10,2026-05-03T20:18:23,6.96,1.1586233853385766,0.6053232308514255,0.02387854192332778,0.9800701608388082,0.6571419418906365,0.05421861409104088,0.00016804031475442044
11,2026-05-03T20:18:31,7.03,1.090921341928998,0.6251396376706008,0.03166896151895065,0.9301415974181853,0.6718454688150687,0.06668599594085242,0.00019490662603396583
12,2026-05-03T20:18:39,7.01,1.0415275707014162,0.6381036799585539,0.035111239944923545,0.8747041749802238,0.6931159304225262,0.07944331690345027,0.0002230562325082534
13,2026-05-03T20:18:48,7.0,0.9975532340319625,0.6520148299253646,0.04391622581346474,0.8311564703901416,0.7116314828458853,0.10031893302406494,0.00025218062607388833
14,2026-05-03T20:18:56,7.03,0.9607372639477103,0.6647157867469684,0.05315602579897094,0.824201477581325,0.7089086074895089,0.10118875036242389,0.00028196061536208
15,2026-05-03T20:19:04,6.88,0.926193971669915,0.6757937086146324,0.06206971519675339,0.7808562094680961,0.7260146714930967,0.13105247897941433,0.00031206982394469594
16,2026-05-03T20:19:12,6.95,0.8999910395467183,0.6838684086972008,0.06757736067831002,0.7565406039603016,0.7345677034948906,0.13772107857349958,0.0003421782672856105
17,2026-05-03T20:19:21,7.03,0.8735558741044471,0.6918297796558033,0.07598376693963331,0.7278780271112871,0.7453310696095077,0.15105827776167005,0.00037195596923543235
18,2026-05-03T20:19:29,6.97,0.852425969574891,0.6996171094597439,0.08348431045727951,0.7198318848238133,0.7485664862094372,0.1638155987242679,0.00040107657843431644
19,2026-05-03T20:19:37,7.04,0.8272353457202065,0.7081775057878803,0.09156460613087905,0.6878052876719438,0.7594259538072204,0.18411133661930995,0.00042922094498857406
20,2026-05-03T20:19:45,6.93,0.8068838381637192,0.7168309938964171,0.10123922023335025,0.6722267946576188,0.7666655988724093,0.19976804870977094,0.0004560806182221782
21,2026-05-03T20:19:53,6.89,0.7870025896804307,0.7225541146566937,0.10779766649757229,0.6574025728469832,0.7714386392029984,0.1968686575819078,0.0004813612271692443
22,2026-05-03T20:20:01,7.0,0.7689150304747181,0.7288155487558081,0.11631277628813683,0.6425288163802624,0.7744818528365954,0.21571469991301825,0.0005047857067586838
23,2026-05-03T20:20:10,6.97,0.7528955201289115,0.7349150841063998,0.12808899195593884,0.6210277869160883,0.7836755613928308,0.2319512902290519,0.0005260973343333702
24,2026-05-03T20:20:18,6.93,0.7334757089184964,0.741216992892645,0.13511848684687297,0.610900201507491,0.7842842041195502,0.23282110756741084,0.0005450625432248202
25,2026-05-03T20:20:26,7.03,0.7135297049861105,0.7497045347839462,0.14805420682658163,0.5995346947315391,0.7912355447352404,0.2528269063496666,0.0005614734825477672
26,2026-05-03T20:20:34,7.0,0.6985327251743919,0.7543186491168423,0.15548228132473368,0.5983110199912642,0.79107537559663,0.26007538416932446,0.0005751502951603335
27,2026-05-03T20:20:42,6.97,0.6788026129118448,0.7619076529538427,0.16845423581418945,0.5613234521579546,0.8028317903706313,0.2957378950420412,0.0005859430888242942
28,2026-05-03T20:20:50,7.0,0.664408522447124,0.76640439069406,0.17472280600043483,0.5533984544865886,0.8074446615626101,0.29341838213975063,0.000593733578962327
29,2026-05-03T20:20:59,7.19,0.643881949700492,0.7737060242524325,0.19023117617218638,0.5209352278627691,0.8195854822692764,0.33400985792983473,0.000598436385008306
30,2026-05-03T20:21:07,6.99,0.6290990985390897,0.7801172146939304,0.20316689615189507,0.5158329667652326,0.8208348015504373,0.3331400405914758,0.0005999999935243154
31,2026-05-03T20:21:15,6.93,0.610433608066519,0.7856501044246929,0.215341691426915,0.49847958546798815,0.8266649581958548,0.3566251087271673,0.0005996951181448714
32,2026-05-03T20:21:23,6.91,0.5943157086820884,0.7919074910550942,0.22806000434814117,0.49557168432486776,0.8277541083384053,0.356335169614381,0.0005987866990983382
33,2026-05-03T20:21:31,6.94,0.5753066077582817,0.7987477131801771,0.24182911805203275,0.4977622185296594,0.8249671653265849,0.3490866917947231,0.0005972765658197807
34,2026-05-03T20:21:39,7.01,0.564158290532703,0.8024025774280765,0.2557431697949127,0.4770232913680617,0.8340327385719319,0.38445926355465354,0.0005951677595166494
