saved_at,epoch,batch_idx
2026-05-03T20:17:07,1,0
2026-05-03T20:17:16,2,0
2026-05-03T20:17:25,3,0
2026-05-03T20:17:33,4,0
2026-05-03T20:17:41,5,0
2026-05-03T20:17:50,6,0
2026-05-03T20:17:58,7,0
2026-05-03T20:18:07,8,0
2026-05-03T20:18:15,9,0
2026-05-03T20:18:23,10,0
2026-05-03T20:18:31,11,0
2026-05-03T20:18:40,12,0
2026-05-03T20:18:48,13,0
2026-05-03T20:18:56,14,0
2026-05-03T20:19:04,15,0
2026-05-03T20:19:12,16,0
2026-05-03T20:19:21,17,0
2026-05-03T20:19:29,18,0
2026-05-03T20:19:37,19,0
2026-05-03T20:19:45,20,0
2026-05-03T20:19:53,21,0
2026-05-03T20:20:02,22,0
2026-05-03T20:20:10,23,0
2026-05-03T20:20:18,24,0
2026-05-03T20:20:26,25,0
2026-05-03T20:20:34,26,0
2026-05-03T20:20:42,27,0
2026-05-03T20:20:50,28,0
2026-05-03T20:20:59,29,0
2026-05-03T20:21:07,30,0
2026-05-03T20:21:15,31,0
2026-05-03T20:21:23,32,0
2026-05-03T20:21:31,33,0
2026-05-03T20:21:39,34,0
2026-05-03T20:21:47,35,0
2026-05-03T20:21:56,36,0
2026-05-03T20:22:04,37,0
2026-05-03T20:22:12,38,0
2026-05-03T20:22:20,39,0
2026-05-03T20:22:28,40,0
2026-05-03T20:22:36,41,0
2026-05-03T20:22:45,42,0
2026-05-03T20:22:53,43,0
2026-05-03T20:23:01,44,0
2026-05-03T20:23:09,45,0
2026-05-03T20:23:17,46,0
2026-05-03T20:23:25,47,0
2026-05-03T20:23:33,48,0
2026-05-03T20:23:42,49,0
2026-05-03T20:23:50,50,0
2026-05-03T20:23:58,51,0
2026-05-03T20:24:06,52,0
2026-05-03T20:24:14,53,0
2026-05-03T20:24:22,54,0
2026-05-03T20:24:30,55,0
2026-05-03T20:24:38,56,0
2026-05-03T20:24:47,57,0
2026-05-03T20:24:55,58,0
2026-05-03T20:25:03,59,0
2026-05-03T20:25:11,60,0
2026-05-03T20:25:19,61,0
2026-05-03T20:25:27,62,0
2026-05-03T20:25:36,63,0
2026-05-03T20:25:44,64,0
2026-05-03T20:25:52,65,0
2026-05-03T20:26:00,66,0
2026-05-03T20:26:08,67,0
2026-05-03T20:26:16,68,0
2026-05-03T20:26:24,69,0
2026-05-03T20:26:33,70,0
2026-05-03T20:26:41,71,0
2026-05-03T20:26:49,72,0
2026-05-03T20:26:57,73,0
2026-05-03T20:27:05,74,0
2026-05-03T20:27:13,75,0
2026-05-03T20:27:22,76,0
2026-05-03T20:27:30,77,0
2026-05-03T20:27:38,78,0
2026-05-03T20:27:46,79,0
2026-05-03T20:27:54,80,0
2026-05-03T20:28:03,81,0
2026-05-03T20:28:11,82,0
2026-05-03T20:28:19,83,0
2026-05-03T20:28:27,84,0
2026-05-03T20:28:36,85,0
2026-05-03T20:28:44,86,0
2026-05-03T20:28:52,87,0
2026-05-03T20:29:00,88,0
2026-05-03T20:29:08,89,0
2026-05-03T20:29:16,90,0
2026-05-03T20:29:24,91,0
2026-05-03T20:29:32,92,0
2026-05-03T20:29:40,93,0
2026-05-03T20:29:49,94,0
2026-05-03T20:29:57,95,0
2026-05-03T20:30:05,96,0
2026-05-03T20:30:13,97,0
2026-05-03T20:30:21,98,0
